student_id,name,skills,experience_years,education,location
S00001,Student_1,"Python, Node.js",5,Bachelor,London
S00002,Student_2,"Go, Docker",3,Bachelor,New York
S00003,Student_3,"Docker, C++",3,Bachelor,Singapore
S00004,Student_4,"Go, C++",3,Master,Bangalore
S00005,Student_5,"React, Data Engineering, Node.js, Python, Java",9,Master,Austin
S00006,Student_6,"Machine Learning, C++, GCP, AWS",6,High School,San Francisco
S00007,Student_7,"Azure, Node.js, SQL, Data Engineering",2,Bachelor,Seattle
S00008,Student_8,"Go, Kubernetes",5,Master,Singapore
S00009,Student_9,"Ruby, C++, Docker, SQL",4,Master,Berlin
S00010,Student_10,"React, AWS",0,Bachelor,Toronto
S00011,Student_11,"Java, Azure, Ruby, C++",1,Master,San Francisco
S00012,Student_12,"Java, Go, React, TypeScript, Data Engineering, C++",4,Bachelor,Bangalore
S00013,Student_13,"GCP, SQL, React",9,Master,Austin
S00014,Student_14,"Node.js, Docker, C++, GCP, Go",3,Master,Seattle
S00015,Student_15,"Machine Learning, Node.js, TypeScript, React, Ruby",2,Master,Seattle
S00016,Student_16,"NLP, Azure, React, Machine Learning, TensorFlow, SQL",4,Master,San Francisco
S00017,Student_17,"Java, Computer Vision, Docker",2,Bachelor,Singapore
S00018,Student_18,"PyTorch, Node.js, Go, Python, AWS",3,Master,Bangalore
S00019,Student_19,"GCP, AWS, Kubernetes, Computer Vision",3,Bachelor,New York
S00020,Student_20,"PyTorch, Java, TypeScript, AWS",1,Master,Berlin
S00021,Student_21,"TypeScript, C++, Machine Learning, Azure, Java, Node.js",6,PhD,Bangalore
S00022,Student_22,"TypeScript, GCP",1,Bachelor,San Francisco
S00023,Student_23,"Kubernetes, React, SQL, Ruby",1,Master,San Francisco
S00024,Student_24,"TensorFlow, Docker",4,PhD,Bangalore
S00025,Student_25,"Machine Learning, TensorFlow, Go",6,Bachelor,Bangalore
S00026,Student_26,"Computer Vision, C++, Go, Ruby, Kubernetes, PyTorch",4,PhD,Austin
S00027,Student_27,"PyTorch, Data Engineering, AWS, React, TypeScript",3,High School,New York
S00028,Student_28,"Go, React, Ruby, Python, Docker, Azure",3,Master,Remote
S00029,Student_29,"SQL, GCP",2,High School,Remote
S00030,Student_30,"TensorFlow, C++, Go, Machine Learning",7,Master,Singapore
S00031,Student_31,"TensorFlow, React, TypeScript, Computer Vision, C++, SQL",4,High School,Seattle
S00032,Student_32,"Computer Vision, TypeScript, Data Engineering, SQL",2,Master,San Francisco
S00033,Student_33,"NLP, GCP",2,Master,San Francisco
S00034,Student_34,"C++, TypeScript, Go",5,Bachelor,Seattle
S00035,Student_35,"Node.js, Data Engineering, React",7,Master,San Francisco
S00036,Student_36,"Go, AWS, SQL, Python, Docker",6,PhD,Remote
S00037,Student_37,"Computer Vision, TensorFlow, Ruby",2,Bachelor,Seattle
S00038,Student_38,"Java, NLP",3,High School,Seattle
S00039,Student_39,"Data Engineering, Kubernetes, Computer Vision, TensorFlow",2,Bachelor,Berlin
S00040,Student_40,"SQL, Ruby, Go",3,High School,Austin
S00041,Student_41,"SQL, Ruby",6,Bachelor,Bangalore
S00042,Student_42,"SQL, PyTorch, Docker",8,Master,San Francisco
S00043,Student_43,"Docker, React, NLP, AWS, Ruby, Kubernetes",4,Bachelor,Singapore
S00044,Student_44,"Computer Vision, Ruby",2,Bachelor,Austin
S00045,Student_45,"C++, GCP, React, Node.js",3,Bachelor,Berlin
S00046,Student_46,"GCP, Docker, Python, Data Engineering, AWS",9,High School,Remote
S00047,Student_47,"Node.js, Machine Learning, Azure, Docker, React, Java",4,Bachelor,Toronto
S00048,Student_48,"Kubernetes, PyTorch, Python, TypeScript, AWS, Data Engineering",3,Bachelor,San Francisco
S00049,Student_49,"Go, Machine Learning",3,Bachelor,Singapore
S00050,Student_50,"GCP, C++, Node.js",4,Bachelor,Berlin
S00051,Student_51,"Docker, Computer Vision",2,Master,New York
S00052,Student_52,"GCP, Machine Learning",2,Master,Berlin
S00053,Student_53,"Data Engineering, Go, Computer Vision",6,Bachelor,San Francisco
S00054,Student_54,"Machine Learning, Go",4,High School,Austin
S00055,Student_55,"Go, Machine Learning, Computer Vision, Ruby, SQL, PyTorch",4,Bachelor,New York
S00056,Student_56,"C++, React, AWS, Azure",7,Master,Seattle
S00057,Student_57,"Machine Learning, React, Java, Go, Computer Vision, Python",2,Bachelor,Austin
S00058,Student_58,"React, Node.js, Java, AWS, NLP",3,Master,Toronto
S00059,Student_59,"C++, Data Engineering, Azure",4,Bachelor,Remote
S00060,Student_60,"Python, C++, NLP",4,Bachelor,San Francisco
S00061,Student_61,"Azure, PyTorch, NLP, GCP",1,PhD,San Francisco
S00062,Student_62,"Java, Ruby, Node.js, SQL",2,Bachelor,Seattle
S00063,Student_63,"GCP, Computer Vision, PyTorch, AWS",3,Bachelor,Singapore
S00064,Student_64,"Node.js, SQL, Computer Vision",4,High School,Bangalore
S00065,Student_65,"Azure, Computer Vision, Docker",4,PhD,Austin
S00066,Student_66,"GCP, AWS, Kubernetes, PyTorch, Go, TypeScript",3,Bachelor,Seattle
S00067,Student_67,"Go, Machine Learning, C++, Computer Vision",0,Master,Seattle
S00068,Student_68,"TypeScript, Ruby, Kubernetes",3,Bachelor,New York
S00069,Student_69,"Kubernetes, C++, Computer Vision, GCP",3,Bachelor,Toronto
S00070,Student_70,"PyTorch, TensorFlow, Java",15,Master,Berlin
S00071,Student_71,"TypeScript, GCP, Docker, React, Kubernetes, AWS",3,Master,London
S00072,Student_72,"SQL, React",4,PhD,Singapore
S00073,Student_73,"Data Engineering, Computer Vision",7,Master,Singapore
S00074,Student_74,"NLP, TensorFlow, TypeScript",6,Bachelor,New York
S00075,Student_75,"Computer Vision, React",8,Bachelor,Bangalore
S00076,Student_76,"SQL, Go, React, AWS, Data Engineering",1,Bachelor,Toronto
S00077,Student_77,"Go, GCP, Data Engineering, PyTorch, Computer Vision, TensorFlow",1,PhD,Toronto
S00078,Student_78,"TensorFlow, Data Engineering, Node.js",2,Master,Berlin
S00079,Student_79,"TensorFlow, React, Node.js, Data Engineering, Docker, Azure",1,Bachelor,Berlin
S00080,Student_80,"GCP, Go, Docker, Machine Learning",4,Bachelor,Seattle
S00081,Student_81,"C++, Docker, Computer Vision",1,Bachelor,Bangalore
S00082,Student_82,"Computer Vision, SQL, C++, TypeScript, NLP",9,PhD,Singapore
S00083,Student_83,"Ruby, NLP",2,Bachelor,Austin
S00084,Student_84,"NLP, Computer Vision, Go, React",3,Bachelor,Berlin
S00085,Student_85,"TensorFlow, Python, NLP, GCP, Go",6,Master,Toronto
S00086,Student_86,"TypeScript, Go, Python",1,PhD,Singapore
S00087,Student_87,"Python, Docker, Computer Vision, Machine Learning, Data Engineering, Ruby",1,High School,Seattle
S00088,Student_88,"C++, Data Engineering, GCP, Go",4,Master,Seattle
S00089,Student_89,"Computer Vision, Node.js, Docker, TensorFlow",4,High School,Bangalore
S00090,Student_90,"Azure, React",6,Master,New York
S00091,Student_91,"React, C++",5,Master,Singapore
S00092,Student_92,"React, Machine Learning, TensorFlow",4,Master,Singapore
S00093,Student_93,"Data Engineering, Node.js, Azure",2,Bachelor,Singapore
S00094,Student_94,"Java, Kubernetes",4,Bachelor,New York
S00095,Student_95,"Ruby, NLP, TypeScript, C++",4,High School,Remote
S00096,Student_96,"Kubernetes, AWS",2,Master,Singapore
S00097,Student_97,"Azure, Go",11,Bachelor,Austin
S00098,Student_98,"PyTorch, GCP",5,High School,Seattle
S00099,Student_99,"AWS, Computer Vision, Azure, Data Engineering, Machine Learning",1,Bachelor,Bangalore
S00100,Student_100,"TypeScript, Go, TensorFlow, Data Engineering",6,Bachelor,Singapore
S00101,Student_101,"GCP, React, Docker, Node.js",6,Master,Remote
S00102,Student_102,"Ruby, NLP, GCP, Python, TensorFlow",5,Master,London
S00103,Student_103,"C++, Azure, Node.js, GCP, Go",3,Master,Berlin
S00104,Student_104,"Python, PyTorch, C++, Docker, React, Azure",2,Bachelor,Bangalore
S00105,Student_105,"TensorFlow, TypeScript, Data Engineering",3,Master,San Francisco
S00106,Student_106,"React, NLP, TypeScript, Kubernetes",4,Master,Austin
S00107,Student_107,"Go, PyTorch, Azure, Computer Vision, GCP",3,Bachelor,Toronto
S00108,Student_108,"Kubernetes, Node.js, React, AWS",9,Master,Austin
S00109,Student_109,"Go, Java",5,Bachelor,Toronto
S00110,Student_110,"Ruby, PyTorch, Kubernetes, AWS",2,Master,Berlin
S00111,Student_111,"Azure, Java, Kubernetes",1,High School,Bangalore
S00112,Student_112,"Node.js, SQL, Ruby",5,Bachelor,London
S00113,Student_113,"AWS, Python, Kubernetes, TensorFlow, PyTorch",3,Bachelor,London
S00114,Student_114,"Node.js, TensorFlow",6,Bachelor,San Francisco
S00115,Student_115,"TensorFlow, Docker, SQL, Machine Learning, PyTorch",5,Master,Berlin
S00116,Student_116,"React, AWS",3,Bachelor,Seattle
S00117,Student_117,"TypeScript, React, PyTorch, NLP, Data Engineering, TensorFlow",2,Bachelor,Singapore
S00118,Student_118,"Kubernetes, Ruby, SQL, AWS, C++",1,Master,Berlin
S00119,Student_119,"Java, React",4,Bachelor,San Francisco
S00120,Student_120,"Python, Computer Vision, Data Engineering",1,Master,Toronto
S00121,Student_121,"SQL, React, Kubernetes, Go",2,Master,Toronto
S00122,Student_122,"React, Node.js",4,Master,Singapore
S00123,Student_123,"Computer Vision, AWS, Go",3,Bachelor,London
S00124,Student_124,"Machine Learning, Docker, SQL, Java",1,Master,Singapore
S00125,Student_125,"Kubernetes, Data Engineering, AWS, Ruby, TypeScript, Azure",7,Bachelor,Berlin
S00126,Student_126,"Go, TensorFlow, Data Engineering, Docker, SQL, TypeScript",7,Bachelor,Austin
S00127,Student_127,"Node.js, Python, Docker, React, Ruby, NLP",5,Master,Berlin
S00128,Student_128,"SQL, Java, TensorFlow, PyTorch, Data Engineering, Go",5,Bachelor,Singapore
S00129,Student_129,"TensorFlow, Docker, TypeScript, Azure, Computer Vision",5,Bachelor,San Francisco
S00130,Student_130,"GCP, Computer Vision, TensorFlow",6,Bachelor,Seattle
S00131,Student_131,"SQL, Data Engineering, Docker, GCP, Node.js, Java",5,Bachelor,Seattle
S00132,Student_132,"Python, Go, Data Engineering, Computer Vision, SQL, AWS",2,Bachelor,Singapore
S00133,Student_133,"Data Engineering, SQL, C++, Node.js, Machine Learning",3,PhD,Toronto
S00134,Student_134,"AWS, Python, React, Java, Kubernetes",14,Bachelor,Bangalore
S00135,Student_135,"Docker, React, AWS, Data Engineering, Go",0,Master,London
S00136,Student_136,"Kubernetes, PyTorch, Node.js, Computer Vision, TensorFlow",2,PhD,Remote
S00137,Student_137,"Go, Machine Learning, NLP, C++, Ruby",7,Master,Berlin
S00138,Student_138,"GCP, PyTorch, Node.js, Python, Kubernetes",2,Master,Singapore
S00139,Student_139,"TensorFlow, Machine Learning, Data Engineering, TypeScript, Azure, Java",5,Bachelor,Bangalore
S00140,Student_140,"Data Engineering, GCP, C++, React, NLP",3,Bachelor,Seattle
S00141,Student_141,"GCP, TensorFlow",2,Master,Seattle
S00142,Student_142,"Machine Learning, TensorFlow, SQL, TypeScript, GCP",0,Master,Toronto
S00143,Student_143,"PyTorch, Data Engineering",4,High School,London
S00144,Student_144,"Machine Learning, Docker, TensorFlow, Node.js, GCP",2,Master,Seattle
S00145,Student_145,"GCP, Go",3,Bachelor,Austin
S00146,Student_146,"Go, SQL, Docker, React, Kubernetes",5,PhD,San Francisco
S00147,Student_147,"AWS, TypeScript, Data Engineering, Java, Kubernetes",6,PhD,New York
S00148,Student_148,"SQL, Kubernetes, Azure, Go",2,Bachelor,Remote
S00149,Student_149,"Computer Vision, Ruby, Java, Go, PyTorch, SQL",2,Master,Seattle
S00150,Student_150,"React, TensorFlow, Machine Learning, TypeScript, Data Engineering, GCP",1,Bachelor,Berlin
S00151,Student_151,"Data Engineering, Kubernetes",6,Master,London
S00152,Student_152,"Data Engineering, Azure",12,PhD,Berlin
S00153,Student_153,"Node.js, Data Engineering, Kubernetes, C++, NLP",7,Master,San Francisco
S00154,Student_154,"NLP, Ruby, Azure",8,Bachelor,Berlin
S00155,Student_155,"NLP, Node.js",2,High School,New York
S00156,Student_156,"TensorFlow, Kubernetes, React, Azure, Go, GCP",5,Bachelor,Berlin
S00157,Student_157,"AWS, SQL, Kubernetes",6,Master,New York
S00158,Student_158,"Azure, Machine Learning, Docker, Kubernetes, GCP, TypeScript",1,Bachelor,Remote
S00159,Student_159,"Go, Azure, PyTorch",10,Bachelor,Berlin
S00160,Student_160,"Node.js, TensorFlow, Kubernetes",1,Master,Austin
S00161,Student_161,"Data Engineering, Docker",9,Bachelor,Remote
S00162,Student_162,"Go, Azure, Docker, NLP, Python",1,Bachelor,San Francisco
S00163,Student_163,"Azure, Node.js, NLP, TypeScript, AWS",1,Master,Toronto
S00164,Student_164,"TypeScript, Go",5,Bachelor,Singapore
S00165,Student_165,"Docker, Data Engineering, Kubernetes",4,Master,San Francisco
S00166,Student_166,"SQL, TypeScript, Kubernetes",2,PhD,San Francisco
S00167,Student_167,"React, Go",9,Bachelor,Toronto
S00168,Student_168,"Go, Computer Vision, Machine Learning, Ruby",1,Master,Toronto
S00169,Student_169,"Computer Vision, Node.js, SQL, Azure, C++, React",3,Bachelor,Remote
S00170,Student_170,"AWS, Azure, Go, Ruby",5,High School,Berlin
S00171,Student_171,"AWS, Data Engineering, Docker",4,Master,Singapore
S00172,Student_172,"SQL, GCP",2,Bachelor,London
S00173,Student_173,"C++, Docker, Go, TypeScript, PyTorch, Computer Vision",2,Master,Austin
S00174,Student_174,"TypeScript, Python, Node.js",6,Master,London
S00175,Student_175,"Go, Node.js, Java",6,Bachelor,New York
S00176,Student_176,"Python, Azure, React",4,Bachelor,New York
S00177,Student_177,"Node.js, SQL, Machine Learning",2,Master,Bangalore
S00178,Student_178,"Docker, TensorFlow",2,Bachelor,Austin
S00179,Student_179,"Ruby, AWS, Data Engineering, PyTorch, React, Kubernetes",3,High School,Bangalore
S00180,Student_180,"Data Engineering, Python, SQL, TensorFlow",4,Master,Seattle
S00181,Student_181,"TensorFlow, Data Engineering",5,High School,San Francisco
S00182,Student_182,"TypeScript, Machine Learning, Docker, Ruby",3,Bachelor,Singapore
S00183,Student_183,"GCP, NLP, PyTorch, Kubernetes, Data Engineering, Node.js",6,Master,San Francisco
S00184,Student_184,"Go, C++",6,Bachelor,Remote
S00185,Student_185,"GCP, Data Engineering, NLP, Computer Vision, AWS",8,Bachelor,Austin
S00186,Student_186,"Azure, Machine Learning, TensorFlow, Docker",3,High School,San Francisco
S00187,Student_187,"Computer Vision, AWS",4,Master,Austin
S00188,Student_188,"Go, SQL, TypeScript",3,Bachelor,San Francisco
S00189,Student_189,"Azure, Computer Vision, SQL, Kubernetes, PyTorch",2,Bachelor,Singapore
S00190,Student_190,"C++, Machine Learning, TensorFlow, React, AWS, Java",12,Master,Austin
S00191,Student_191,"Node.js, Ruby",7,Bachelor,Seattle
S00192,Student_192,"TypeScript, Go, Python, Node.js, Ruby, Docker",6,Bachelor,Berlin
S00193,Student_193,"Azure, Python, Java, Machine Learning",3,Bachelor,Seattle
S00194,Student_194,"Machine Learning, Python",2,High School,Bangalore
S00195,Student_195,"NLP, Computer Vision, Data Engineering",7,Bachelor,Austin
S00196,Student_196,"GCP, Ruby, Docker, SQL",3,Bachelor,Singapore
S00197,Student_197,"Docker, Node.js",5,Bachelor,Seattle
S00198,Student_198,"TypeScript, Data Engineering, Computer Vision, Node.js, C++",2,Master,San Francisco
S00199,Student_199,"Computer Vision, AWS, Kubernetes, TensorFlow",4,Bachelor,Berlin
S00200,Student_200,"React, NLP",2,PhD,New York
S00201,Student_201,"C++, Kubernetes",2,PhD,London
S00202,Student_202,"Kubernetes, GCP, AWS, Python",4,Bachelor,Seattle
S00203,Student_203,"Machine Learning, NLP, Go",1,Master,Bangalore
S00204,Student_204,"Azure, Docker, NLP, SQL, Computer Vision, Python",1,Bachelor,San Francisco
S00205,Student_205,"Ruby, Computer Vision, NLP, TypeScript",2,Bachelor,Seattle
S00206,Student_206,"GCP, Java",3,Master,Singapore
S00207,Student_207,"Azure, Docker, Computer Vision, AWS, React",6,Bachelor,Seattle
S00208,Student_208,"Docker, NLP, Kubernetes, GCP, React, Java",3,Master,San Francisco
S00209,Student_209,"AWS, PyTorch, Ruby, C++, Azure, Java",3,Master,London
S00210,Student_210,"AWS, Machine Learning, Node.js",3,Bachelor,Singapore
S00211,Student_211,"Docker, Java, TensorFlow",4,Bachelor,Singapore
S00212,Student_212,"Data Engineering, Ruby, GCP, Go, Machine Learning, React",2,High School,Toronto
S00213,Student_213,"Node.js, Ruby, SQL, Azure",3,Bachelor,Berlin
S00214,Student_214,"Data Engineering, SQL, Ruby, Azure, Kubernetes",4,High School,San Francisco
S00215,Student_215,"TypeScript, PyTorch, NLP, Data Engineering, SQL, React",4,PhD,Singapore
S00216,Student_216,"GCP, TensorFlow, PyTorch",3,Bachelor,New York
S00217,Student_217,"AWS, GCP, Docker, PyTorch, Java",3,High School,Toronto
S00218,Student_218,"PyTorch, TypeScript, Java, Azure, Ruby",5,PhD,Seattle
S00219,Student_219,"GCP, SQL, TypeScript, Docker, Go",13,High School,Seattle
S00220,Student_220,"Node.js, Machine Learning, GCP, Docker",2,Bachelor,London
S00221,Student_221,"Kubernetes, NLP, Machine Learning, Docker",13,Bachelor,Seattle
S00222,Student_222,"Machine Learning, PyTorch, Docker, Computer Vision",2,Bachelor,New York
S00223,Student_223,"Kubernetes, Java, C++, GCP",0,PhD,Toronto
S00224,Student_224,"React, Machine Learning, Ruby",2,High School,San Francisco
S00225,Student_225,"Go, PyTorch, SQL, GCP, Machine Learning, Kubernetes",4,Bachelor,London
S00226,Student_226,"TypeScript, Java, Data Engineering",11,High School,Austin
S00227,Student_227,"Data Engineering, Kubernetes, TypeScript",2,Bachelor,Remote
S00228,Student_228,"TensorFlow, C++, Azure, Data Engineering",5,Bachelor,Berlin
S00229,Student_229,"PyTorch, TypeScript, Computer Vision, Java, C++",1,Master,London
S00230,Student_230,"SQL, TensorFlow, Azure, AWS",11,Master,Bangalore
S00231,Student_231,"Kubernetes, Docker",7,Master,Berlin
S00232,Student_232,"PyTorch, Machine Learning, Computer Vision, Docker, React",2,Master,Austin
S00233,Student_233,"Computer Vision, SQL",8,Bachelor,Austin
S00234,Student_234,"NLP, Docker, Azure",3,Bachelor,Austin
S00235,Student_235,"GCP, Machine Learning",8,Bachelor,Berlin
S00236,Student_236,"Machine Learning, TensorFlow, Data Engineering, Python, Docker",3,High School,Remote
S00237,Student_237,"Go, PyTorch, Computer Vision",3,Bachelor,Berlin
S00238,Student_238,"Kubernetes, AWS, SQL",2,Bachelor,Singapore
S00239,Student_239,"Docker, AWS, TensorFlow, Python, React",5,Master,Berlin
S00240,Student_240,"Python, Azure, React, Computer Vision, Java",4,Master,San Francisco
S00241,Student_241,"Azure, Docker, PyTorch, Go, Python, C++",5,Master,New York
S00242,Student_242,"Azure, Node.js, Python, TypeScript, Docker",1,Bachelor,San Francisco
S00243,Student_243,"GCP, Machine Learning, SQL, Azure, TypeScript, Computer Vision",8,Master,Toronto
S00244,Student_244,"Java, Machine Learning, Docker, Data Engineering, SQL",9,Bachelor,New York
S00245,Student_245,"SQL, GCP, Kubernetes",4,Bachelor,Bangalore
S00246,Student_246,"Node.js, SQL, C++, Kubernetes, Azure",12,Master,New York
S00247,Student_247,"Node.js, AWS, Azure, Computer Vision",10,Master,Toronto
S00248,Student_248,"GCP, Java, TensorFlow, Go, Azure",5,PhD,Bangalore
S00249,Student_249,"Docker, Computer Vision, TypeScript, Ruby",8,Master,London
S00250,Student_250,"Kubernetes, GCP, AWS, Docker, Ruby, TensorFlow",7,Bachelor,Toronto
S00251,Student_251,"Computer Vision, Java, Data Engineering, Azure, Go, Python",1,Master,Austin
S00252,Student_252,"Computer Vision, Node.js, SQL, Docker, NLP, Java",3,Bachelor,London
