log_id,student_id,job_id,model_version,served_score,offline_score,skew,rank_position,clicked,applied,is_defect,defect_type,user_impact_score,college_tier,region
L000008,S0284,J028,v1.0,0.4014,0.4014,0.0,1,1,0,0,none,0.0,2,rural
L000015,S0144,J018,v1.1,0.7329,0.6235,0.1094,3,0,0,1,false_positive,0.547,2,urban
L000025,S0043,J029,v1.1,0.4423,0.3658,0.0764,5,0,0,0,none,0.296,2,semi_urban
L000036,S0214,J048,v1.2,0.2447,0.1453,0.0995,5,0,0,0,none,0.385,3,urban
L000043,S0133,J037,v1.0,0.3389,0.3389,0.0,2,0,0,0,none,0.0,2,rural
L000048,S0291,J024,v1.2,0.4689,0.4025,0.0664,1,0,0,0,none,0.664,1,urban
L000051,S0086,J010,v1.0,0.3643,0.3643,0.0,1,1,1,1,false_negative,0.0,3,semi_urban
L000064,S0025,J013,v1.1,0.6813,0.6491,0.0322,3,0,0,0,none,0.161,1,semi_urban
L000068,S0264,J040,v1.1,0.6406,0.5594,0.0812,3,0,0,0,none,0.406,3,semi_urban
L000069,S0239,J043,v1.1,0.3651,0.28,0.0851,2,0,0,0,none,0.537,1,rural
L000081,S0003,J011,v1.1,0.0312,0.0,0.0312,3,0,0,0,none,0.156,2,semi_urban
L000090,S0180,J022,v1.1,0.6067,0.5572,0.0495,1,1,0,0,none,0.495,3,urban
L000091,S0008,J038,v1.1,1.0,0.9608,0.1188,3,0,0,1,false_positive,0.196,1,urban
L000111,S0060,J003,v1.0,0.5746,0.5746,0.0,2,1,1,0,none,0.0,2,rural
L000115,S0187,J042,v1.1,0.7928,0.6953,0.0975,4,1,0,0,none,0.42,1,urban
L000118,S0013,J013,v1.2,0.2543,0.2165,0.0378,4,0,0,0,none,0.163,3,urban
L000121,S0290,J004,v1.2,0.5746,0.4975,0.0771,5,0,0,0,none,0.298,3,rural
L000122,S0248,J011,v1.1,0.3782,0.2794,0.0989,3,0,0,0,none,0.494,2,semi_urban
L000131,S0116,J002,v1.2,0.2053,0.1353,0.07,3,0,0,0,none,0.35,3,urban
L000132,S0026,J014,v1.2,0.085,0.0333,0.0517,1,0,0,0,none,0.517,2,rural
L000143,S0164,J006,v1.1,1.0,0.9095,0.0981,4,1,1,0,none,0.39,2,semi_urban
L000147,S0053,J027,v1.2,0.6922,0.6052,0.087,5,0,0,0,none,0.337,2,semi_urban
L000148,S0136,J012,v1.1,0.5526,0.4581,0.0946,1,1,1,0,none,0.945,3,urban
L000152,S0146,J019,v1.0,0.3042,0.3042,0.0,2,1,1,1,false_negative,0.0,2,rural
L000156,S0128,J040,v1.2,0.458,0.3591,0.0989,4,0,0,0,none,0.426,1,urban
L000162,S0064,J003,v1.2,0.8681,0.7771,0.0911,2,0,0,1,false_positive,0.574,2,semi_urban
L000169,S0284,J001,v1.0,0.1575,0.1575,0.0,3,0,0,0,none,0.0,2,rural
L000177,S0230,J036,v1.2,0.3618,0.2974,0.0645,4,0,0,0,none,0.277,1,semi_urban
L000182,S0054,J044,v1.1,0.6433,0.5794,0.0639,2,1,0,0,none,0.403,3,urban
L000185,S0137,J030,v1.0,0.2921,0.2921,0.0,1,0,0,0,none,0.0,2,semi_urban
L000193,S0189,J003,v1.1,0.8082,0.6886,0.1197,2,0,0,1,false_positive,0.755,2,semi_urban
L000194,S0276,J021,v1.2,0.2838,0.1939,0.0898,1,0,0,0,none,0.899,2,rural
L000195,S0252,J029,v1.2,0.1923,0.0894,0.1029,4,0,0,0,none,0.443,2,urban
L000209,S0224,J013,v1.2,0.315,0.248,0.067,2,0,0,0,none,0.423,2,urban
L000217,S0168,J034,v1.1,0.6621,0.6068,0.0553,5,0,0,0,none,0.214,2,urban
L000220,S0021,J042,v1.0,0.5948,0.5948,0.0,2,1,0,0,none,0.0,2,urban
L000224,S0078,J023,v1.1,0.6658,0.5875,0.0783,1,1,0,0,none,0.783,2,urban
L000229,S0293,J022,v1.2,0.5307,0.4561,0.0746,1,1,0,0,none,0.746,1,semi_urban
L000230,S0056,J011,v1.1,0.0371,0.0,0.0371,5,0,0,0,none,0.144,2,semi_urban
L000237,S0256,J024,v1.2,0.3875,0.2824,0.1051,1,0,0,0,none,1.051,3,urban
L000240,S0022,J019,v1.1,0.4357,0.3245,0.1112,4,0,0,0,none,0.479,3,urban
L000242,S0098,J047,v1.2,0.5765,0.5345,0.0421,3,1,0,0,none,0.21,1,urban
L000246,S0183,J032,v1.0,0.6814,0.6814,0.0,3,1,0,0,none,0.0,2,urban
L000251,S0243,J002,v1.1,0.4895,0.4234,0.0661,2,0,0,0,none,0.417,2,rural
L000258,S0116,J022,v1.1,0.1935,0.1133,0.0802,1,0,0,0,none,0.802,3,urban
L000259,S0233,J033,v1.1,0.6191,0.5854,0.0338,2,0,0,0,none,0.213,2,semi_urban
L000260,S0163,J021,v1.2,0.433,0.3565,0.0765,5,0,0,0,none,0.296,1,urban
L000262,S0298,J028,v1.2,0.4707,0.374,0.0966,2,0,0,0,none,0.61,3,rural
L000270,S0090,J002,v1.1,0.5845,0.4926,0.0919,4,0,0,0,none,0.396,1,semi_urban
L000272,S0018,J001,v1.0,0.2962,0.2962,0.0,1,0,0,0,none,0.0,3,urban
L000277,S0083,J036,v1.2,0.3239,0.3109,0.0129,4,0,0,0,none,0.056,1,urban
L000284,S0278,J022,v1.1,0.5692,0.5243,0.0449,3,0,0,0,none,0.225,3,rural
L000288,S0284,J043,v1.2,0.2402,0.1294,0.1108,3,1,0,1,false_negative,0.554,2,rural
L000293,S0120,J018,v1.1,0.3968,0.2469,0.1499,3,0,0,0,none,0.749,2,semi_urban
L000297,S0149,J008,v1.1,0.5776,0.4863,0.0914,3,0,0,0,none,0.456,1,semi_urban
L000301,S0088,J028,v1.0,0.4242,0.4242,0.0,5,0,0,0,none,0.0,1,urban
L000309,S0178,J015,v1.2,0.8002,0.7342,0.066,2,1,1,0,none,0.416,3,semi_urban
L000311,S0198,J031,v1.2,0.6404,0.5233,0.1171,1,0,0,0,none,1.171,1,urban
L000321,S0028,J036,v1.2,0.8562,0.783,0.0732,1,1,0,0,none,0.732,1,semi_urban
L000328,S0011,J035,v1.1,0.6396,0.5892,0.0504,1,1,0,0,none,0.504,3,urban
L000330,S0250,J007,v1.1,0.612,0.5567,0.0553,5,0,0,0,none,0.214,2,urban
L000331,S0000,J033,v1.0,0.6869,0.6869,0.0,5,1,0,0,none,0.0,3,semi_urban
L000332,S0232,J002,v1.2,0.5808,0.4659,0.1149,3,0,0,0,none,0.574,3,urban
L000340,S0026,J002,v1.2,0.4649,0.4195,0.0455,5,0,0,0,none,0.176,2,rural
L000341,S0254,J036,v1.1,0.8934,0.8033,0.0901,1,1,1,0,none,0.901,1,urban
L000357,S0242,J010,v1.2,0.3621,0.2831,0.079,3,0,0,0,none,0.395,1,rural
L000361,S0289,J007,v1.2,0.5485,0.4927,0.0558,5,0,0,0,none,0.216,1,urban
L000363,S0276,J011,v1.0,0.2804,0.2804,0.0,3,0,0,0,none,0.0,2,rural
L000369,S0085,J003,v1.1,0.5382,0.4821,0.0561,2,0,0,0,none,0.354,1,rural
L000372,S0067,J013,v1.2,0.5398,0.445,0.0948,4,1,0,0,none,0.408,2,semi_urban
L000401,S0283,J047,v1.2,0.3315,0.2392,0.0923,3,0,0,0,none,0.462,1,urban
L000404,S0280,J008,v1.1,0.5833,0.4924,0.0909,5,0,0,0,none,0.352,1,urban
L000408,S0024,J029,v1.2,0.5826,0.4486,0.134,2,0,0,0,none,0.845,3,rural
L000421,S0128,J034,v1.1,0.4484,0.3683,0.0801,1,1,1,0,none,0.801,1,urban
L000427,S0098,J045,v1.2,0.5935,0.4919,0.1016,3,1,1,0,none,0.508,1,urban
L000428,S0056,J036,v1.2,0.3954,0.3391,0.0563,3,1,1,1,false_negative,0.281,2,semi_urban
L000435,S0129,J046,v1.2,0.63,0.5479,0.0821,5,0,0,0,none,0.318,2,rural
L000441,S0012,J016,v1.1,0.9478,0.8697,0.078,2,0,0,1,false_positive,0.493,2,urban
L000463,S0214,J008,v1.1,0.2358,0.1469,0.0889,1,1,0,1,false_negative,0.889,3,urban
L000464,S0190,J014,v1.0,0.1406,0.1406,0.0,5,0,0,0,none,0.0,3,semi_urban
L000474,S0027,J018,v1.2,0.4806,0.3646,0.116,4,0,0,0,none,0.5,1,semi_urban
L000476,S0045,J008,v1.2,0.5179,0.497,0.0209,3,0,0,0,none,0.105,3,semi_urban
L000483,S0114,J040,v1.2,0.539,0.4777,0.0613,3,0,0,0,none,0.307,1,urban
L000487,S0080,J023,v1.2,0.6934,0.5993,0.0941,5,0,0,0,none,0.364,2,semi_urban
L000502,S0183,J049,v1.2,1.0,0.9293,0.0794,5,0,0,1,false_positive,0.274,2,urban
L000509,S0074,J002,v1.2,0.4795,0.3888,0.0907,1,1,0,0,none,0.907,1,urban
L000514,S0187,J010,v1.2,0.6391,0.4993,0.1398,3,0,0,0,none,0.699,1,urban
L000518,S0181,J049,v1.2,0.8509,0.805,0.0459,5,0,0,1,false_positive,0.178,3,urban
L000528,S0090,J028,v1.0,0.7927,0.7927,0.0,5,1,0,0,none,0.0,1,semi_urban
L000529,S0295,J032,v1.1,0.8637,0.6855,0.1781,5,0,0,1,false_positive,0.689,3,urban
L000540,S0235,J036,v1.0,0.6097,0.6097,0.0,4,0,0,0,none,0.0,3,urban
L000543,S0186,J015,v1.2,0.6205,0.5877,0.0328,3,0,0,0,none,0.164,2,urban
L000544,S0205,J037,v1.0,0.6738,0.6738,0.0,5,0,0,0,none,0.0,1,semi_urban
L000553,S0115,J047,v1.1,0.5678,0.5046,0.0632,2,0,0,0,none,0.399,3,urban
L000558,S0197,J037,v1.2,0.489,0.3869,0.1021,5,0,0,0,none,0.395,3,semi_urban
L000565,S0238,J023,v1.2,0.6957,0.6083,0.0873,2,1,0,0,none,0.551,1,urban
L000573,S0117,J022,v1.2,0.4954,0.4152,0.0802,1,1,0,0,none,0.802,3,semi_urban
L000575,S0289,J022,v1.1,0.3735,0.282,0.0915,5,0,0,0,none,0.354,1,urban
L000590,S0058,J033,v1.1,0.5924,0.5456,0.0468,4,1,1,0,none,0.202,1,urban
L000595,S0206,J025,v1.2,0.7378,0.6798,0.058,2,1,0,0,none,0.366,1,urban
L000606,S0109,J028,v1.2,0.8056,0.7421,0.0635,1,0,0,1,false_positive,0.635,3,rural
L000607,S0122,J020,v1.2,0.6736,0.6267,0.0468,4,0,0,0,none,0.202,1,urban
L000623,S0097,J049,v1.2,0.9521,0.8549,0.0973,2,0,0,1,false_positive,0.613,1,urban
L000625,S0059,J010,v1.1,0.6069,0.5008,0.1061,4,0,0,0,none,0.457,1,semi_urban
L000627,S0052,J013,v1.1,0.1894,0.1191,0.0704,2,0,0,0,none,0.444,3,semi_urban
L000639,S0204,J043,v1.2,0.3844,0.3562,0.0282,1,0,0,0,none,0.282,1,semi_urban
L000641,S0299,J005,v1.2,0.4677,0.3869,0.0808,5,0,0,0,none,0.313,2,semi_urban
L000645,S0257,J047,v1.2,0.3745,0.2504,0.1241,1,0,0,0,none,1.241,1,urban
L000649,S0036,J043,v1.1,0.4245,0.3458,0.0787,2,0,0,0,none,0.497,1,urban
L000659,S0043,J012,v1.1,0.535,0.4458,0.0892,3,0,0,0,none,0.446,2,semi_urban
L000671,S0086,J041,v1.2,0.463,0.3642,0.0988,1,1,0,0,none,0.988,3,semi_urban
L000685,S0250,J036,v1.0,0.4642,0.4642,0.0,2,0,0,0,none,0.0,2,urban
L000705,S0110,J035,v1.2,0.85,0.7754,0.0745,3,0,0,1,false_positive,0.373,2,semi_urban
L000717,S0213,J021,v1.0,0.0572,0.0572,0.0,4,0,0,0,none,0.0,3,urban
L000730,S0010,J021,v1.1,0.1599,0.0537,0.1062,2,0,0,0,none,0.67,2,urban
L000748,S0032,J019,v1.2,0.7077,0.6427,0.065,4,1,0,0,none,0.28,2,semi_urban
L000750,S0019,J015,v1.1,0.5691,0.4799,0.0892,3,0,0,0,none,0.446,2,rural
L000756,S0182,J037,v1.2,0.4825,0.3668,0.1157,5,0,0,0,none,0.448,2,semi_urban
L000762,S0153,J038,v1.2,0.7949,0.7054,0.0895,5,1,1,0,none,0.346,2,urban
L000767,S0181,J047,v1.1,0.6463,0.5475,0.0987,3,0,0,0,none,0.494,3,urban
L000775,S0210,J048,v1.0,0.3059,0.3059,0.0,3,0,0,0,none,0.0,2,urban
L000777,S0117,J034,v1.2,0.4696,0.4358,0.0338,4,1,0,0,none,0.146,3,semi_urban
L000784,S0063,J016,v1.2,0.4587,0.4089,0.0498,5,0,0,0,none,0.193,3,urban
L000801,S0101,J020,v1.2,0.6909,0.6814,0.0095,5,0,0,0,none,0.037,2,rural
L000804,S0209,J007,v1.2,0.708,0.6709,0.0371,5,0,0,1,false_positive,0.144,2,urban
L000805,S0129,J005,v1.2,0.2511,0.1811,0.07,1,0,0,0,none,0.7,2,rural
L000825,S0035,J035,v1.2,0.4388,0.301,0.1378,3,0,0,0,none,0.689,1,semi_urban
L000835,S0269,J013,v1.2,0.9173,0.8142,0.1031,2,1,0,0,none,0.65,1,semi_urban
L000839,S0216,J008,v1.1,0.4597,0.4391,0.0206,1,0,0,0,none,0.206,1,urban
L000843,S0134,J000,v1.2,0.6544,0.5511,0.1034,5,0,0,0,none,0.4,2,urban
L000849,S0086,J028,v1.2,0.7711,0.6318,0.1392,5,1,0,0,none,0.539,3,semi_urban
L000862,S0044,J011,v1.0,0.1577,0.1577,0.0,1,0,0,0,none,0.0,3,semi_urban
L000880,S0139,J023,v1.2,0.5469,0.4029,0.144,1,1,0,0,none,1.44,1,semi_urban
L000881,S0149,J012,v1.2,0.5907,0.4844,0.1063,5,0,0,0,none,0.411,1,semi_urban
L000884,S0268,J009,v1.1,0.544,0.4902,0.0539,3,1,0,0,none,0.269,1,urban
L000903,S0220,J020,v1.2,0.8293,0.7472,0.0822,1,1,0,0,none,0.821,2,rural
L000904,S0197,J010,v1.2,0.4813,0.4813,-0.0,2,1,0,0,none,0.0,3,semi_urban
L000907,S0230,J038,v1.1,0.5075,0.4389,0.0686,3,0,0,0,none,0.343,1,semi_urban
L000908,S0276,J002,v1.2,0.6023,0.4709,0.1314,3,1,0,0,none,0.657,2,rural
L000916,S0104,J016,v1.0,0.7412,0.7412,0.0,1,1,1,0,none,0.0,3,rural
L000920,S0276,J038,v1.0,0.7555,0.7555,0.0,3,1,0,0,none,0.0,2,rural
L000922,S0159,J047,v1.2,0.5698,0.4754,0.0943,3,0,0,0,none,0.472,3,semi_urban
L000929,S0205,J014,v1.2,0.438,0.3546,0.0834,3,0,0,0,none,0.417,1,semi_urban
L000931,S0050,J033,v1.1,0.9002,0.8731,0.0271,4,1,0,0,none,0.117,1,semi_urban
L000932,S0211,J049,v1.2,0.6864,0.5697,0.1166,1,1,1,0,none,1.167,2,rural
L000934,S0070,J030,v1.2,0.0724,0.0,0.0724,5,0,0,0,none,0.28,1,semi_urban
L000938,S0259,J005,v1.2,0.4197,0.321,0.0987,2,0,0,0,none,0.623,2,urban
L000944,S0145,J022,v1.0,0.1139,0.1139,0.0,1,0,0,0,none,0.0,2,semi_urban
L000945,S0294,J023,v1.2,0.5682,0.4784,0.0897,2,1,0,0,none,0.567,3,urban
L000953,S0053,J013,v1.1,0.7396,0.6404,0.0992,2,0,0,1,false_positive,0.626,2,semi_urban
L000964,S0108,J005,v1.0,0.2547,0.2547,0.0,4,0,0,0,none,0.0,1,urban
L000968,S0064,J027,v1.1,0.5555,0.5347,0.0208,5,0,0,0,none,0.08,2,semi_urban
L000971,S0051,J023,v1.2,0.4987,0.4063,0.0924,1,1,0,0,none,0.924,1,urban
L000974,S0055,J015,v1.2,0.5973,0.4792,0.1181,3,0,0,0,none,0.591,3,semi_urban
L000977,S0127,J013,v1.0,0.5395,0.5395,0.0,5,1,0,0,none,0.0,1,rural
L000983,S0213,J041,v1.1,0.4318,0.3342,0.0976,1,0,0,0,none,0.976,3,urban
L000985,S0000,J048,v1.2,0.7568,0.6682,0.0886,5,1,1,0,none,0.343,3,semi_urban
L000995,S0176,J017,v1.2,0.8416,0.7688,0.0728,3,1,0,0,none,0.364,2,urban
L001006,S0160,J010,v1.1,0.6552,0.5467,0.1085,3,0,0,0,none,0.543,1,semi_urban
L001035,S0085,J044,v1.1,0.3822,0.3028,0.0795,3,1,0,1,false_negative,0.397,1,rural
L001057,S0210,J040,v1.2,0.6658,0.5796,0.0863,4,0,0,0,none,0.371,2,urban
L001062,S0204,J044,v1.1,0.3604,0.3117,0.0487,1,1,1,1,false_negative,0.487,1,semi_urban
L001063,S0026,J010,v1.2,0.3938,0.32,0.0738,5,0,0,0,none,0.285,2,rural
L001065,S0214,J005,v1.0,0.2103,0.2103,0.0,4,0,0,0,none,0.0,3,urban
L001075,S0037,J005,v1.1,0.423,0.3149,0.1081,4,0,0,0,none,0.466,2,semi_urban
L001083,S0175,J010,v1.2,0.4262,0.3293,0.0968,5,0,0,0,none,0.375,1,urban
L001084,S0196,J035,v1.0,0.7397,0.7397,0.0,1,0,0,1,false_positive,0.0,2,urban
L001095,S0016,J035,v1.1,0.3466,0.2813,0.0653,1,1,0,1,false_negative,0.653,2,urban
L001104,S0095,J004,v1.2,0.4712,0.3716,0.0995,2,0,0,0,none,0.628,2,urban
L001106,S0007,J020,v1.2,0.8236,0.7117,0.1119,4,0,0,1,false_positive,0.482,3,semi_urban
L001107,S0285,J000,v1.2,0.6196,0.5383,0.0812,5,0,0,0,none,0.315,2,semi_urban
L001115,S0184,J046,v1.2,0.8349,0.7771,0.0578,1,1,0,0,none,0.578,3,urban
L001117,S0277,J041,v1.0,0.5626,0.5626,0.0,4,0,0,0,none,0.0,2,semi_urban
L001120,S0008,J019,v1.2,0.8934,0.8301,0.0633,2,1,1,0,none,0.399,1,urban
L001122,S0210,J012,v1.2,0.4575,0.4032,0.0543,5,0,0,0,none,0.21,2,urban
L001131,S0058,J041,v1.0,0.3529,0.3529,0.0,2,0,0,0,none,0.0,1,urban
L001136,S0066,J011,v1.1,0.3439,0.2877,0.0562,4,0,0,0,none,0.242,2,semi_urban
L001148,S0028,J035,v1.2,0.6344,0.5577,0.0767,3,0,0,0,none,0.383,1,semi_urban
L001150,S0276,J030,v1.2,0.3434,0.2533,0.0902,1,1,0,1,false_negative,0.901,2,rural
L001154,S0171,J025,v1.1,0.5451,0.4958,0.0493,3,0,0,0,none,0.247,2,urban
L001159,S0211,J039,v1.2,0.286,0.2077,0.0784,2,0,0,0,none,0.494,2,rural
L001161,S0017,J028,v1.2,0.5951,0.4863,0.1088,1,0,0,0,none,1.088,1,semi_urban
L001169,S0090,J015,v1.1,0.6697,0.5963,0.0734,5,0,0,0,none,0.284,1,semi_urban
L001186,S0244,J023,v1.2,0.8722,0.8583,0.0139,3,0,0,1,false_positive,0.07,2,urban
L001193,S0211,J007,v1.2,0.5904,0.514,0.0764,1,0,0,0,none,0.764,2,rural
L001195,S0021,J028,v1.1,0.7415,0.6393,0.1023,1,0,0,1,false_positive,1.022,2,urban
L001196,S0201,J049,v1.1,0.8312,0.766,0.0652,3,0,0,1,false_positive,0.326,3,rural
L001197,S0073,J001,v1.2,0.708,0.6253,0.0827,1,1,1,0,none,0.827,1,urban
L001205,S0014,J038,v1.1,0.8242,0.7831,0.041,2,1,0,0,none,0.259,2,urban
L001207,S0210,J024,v1.1,0.4448,0.349,0.0958,5,0,0,0,none,0.371,2,urban
L001209,S0201,J001,v1.1,0.4474,0.4107,0.0367,2,1,0,0,none,0.232,3,rural
L001221,S0071,J028,v1.1,0.8059,0.6638,0.1421,5,0,0,1,false_positive,0.55,2,urban
L001222,S0020,J043,v1.1,0.559,0.5146,0.0444,1,0,0,0,none,0.444,3,rural
L001232,S0063,J016,v1.1,0.4215,0.3229,0.0986,4,0,0,0,none,0.425,3,urban
L001237,S0013,J002,v1.0,0.203,0.203,0.0,2,0,0,0,none,0.0,3,urban
L001238,S0281,J029,v1.2,0.2884,0.1909,0.0975,1,0,0,0,none,0.975,1,semi_urban
L001241,S0241,J002,v1.1,0.6161,0.5581,0.058,4,0,0,0,none,0.25,3,semi_urban
L001247,S0010,J011,v1.1,0.235,0.1363,0.0988,2,0,0,0,none,0.623,2,urban
L001265,S0166,J017,v1.2,0.2088,0.1574,0.0514,2,0,0,0,none,0.324,3,semi_urban
L001266,S0230,J022,v1.0,0.2523,0.2523,0.0,5,1,0,1,false_negative,0.0,1,semi_urban
L001267,S0164,J046,v1.2,1.0,0.9506,0.1013,1,1,0,0,none,0.494,2,semi_urban
L001274,S0188,J009,v1.0,0.2579,0.2579,0.0,4,0,0,0,none,0.0,3,semi_urban
L001277,S0281,J022,v1.1,0.2661,0.1452,0.1208,1,0,0,0,none,1.209,1,semi_urban
L001278,S0077,J000,v1.2,0.651,0.5916,0.0594,2,1,0,0,none,0.375,2,urban
L001282,S0148,J034,v1.0,0.7963,0.7963,0.0,4,0,0,1,false_positive,0.0,2,urban
L001285,S0166,J040,v1.1,0.4667,0.3211,0.1456,2,0,0,0,none,0.919,3,semi_urban
L001297,S0239,J016,v1.2,0.5424,0.4826,0.0598,2,1,0,0,none,0.377,1,rural
L001302,S0068,J046,v1.0,0.6699,0.6699,0.0,3,1,0,0,none,0.0,1,urban
L001314,S0200,J033,v1.2,0.6929,0.5992,0.0936,1,1,0,0,none,0.937,3,semi_urban
L001322,S0203,J025,v1.2,0.5355,0.4016,0.1339,1,0,0,0,none,1.339,1,semi_urban
L001325,S0123,J007,v1.0,0.8734,0.8734,0.0,2,1,0,0,none,0.0,2,urban
L001326,S0238,J042,v1.2,0.7463,0.6655,0.0808,3,0,0,1,false_positive,0.404,1,urban
L001336,S0043,J009,v1.0,0.4872,0.4872,0.0,1,0,0,0,none,0.0,2,semi_urban
L001342,S0182,J001,v1.2,0.5203,0.4563,0.064,3,0,0,0,none,0.32,2,semi_urban
L001346,S0002,J032,v1.1,0.6778,0.5949,0.0829,1,0,0,0,none,0.829,3,semi_urban
L001350,S0009,J014,v1.0,0.0,0.0,0.0,1,0,0,0,none,0.0,2,urban
L001356,S0239,J012,v1.1,0.4887,0.4029,0.0858,3,0,0,0,none,0.429,1,rural
L001386,S0141,J005,v1.0,0.341,0.341,0.0,5,0,0,0,none,0.0,2,urban
L001402,S0277,J009,v1.2,0.5702,0.5035,0.0667,5,0,0,0,none,0.258,2,semi_urban
L001413,S0065,J020,v1.2,0.9326,0.8321,0.1005,3,1,0,0,none,0.503,2,urban
L001433,S0050,J019,v1.0,0.8209,0.8209,0.0,4,0,0,1,false_positive,0.0,1,semi_urban
L001434,S0270,J043,v1.1,0.4061,0.4017,0.0044,4,0,0,0,none,0.019,1,urban
L001438,S0081,J022,v1.2,0.7343,0.6568,0.0775,5,1,0,0,none,0.3,2,rural
L001440,S0042,J017,v1.1,0.6962,0.6513,0.0449,3,0,0,0,none,0.225,3,rural
L001441,S0015,J019,v1.2,0.7963,0.7342,0.0621,4,0,0,1,false_positive,0.267,1,urban
L001451,S0110,J034,v1.2,0.8859,0.8044,0.0815,2,1,0,0,none,0.514,2,semi_urban
L001453,S0111,J042,v1.1,0.7225,0.6055,0.117,4,0,0,1,false_positive,0.504,1,semi_urban
L001454,S0210,J016,v1.1,0.6755,0.5699,0.1056,3,0,0,0,none,0.528,2,urban
L001461,S0263,J042,v1.0,1.0,1.0,0.0,2,0,0,1,false_positive,0.0,1,semi_urban
L001470,S0114,J021,v1.0,0.2058,0.2058,0.0,2,0,0,0,none,0.0,1,urban
L001479,S0093,J043,v1.0,0.5109,0.5109,0.0,4,0,0,0,none,0.0,2,semi_urban
L001484,S0207,J002,v1.2,0.622,0.556,0.066,3,1,0,0,none,0.33,2,rural
L001486,S0125,J033,v1.2,0.4966,0.3538,0.1428,4,0,0,0,none,0.615,2,rural
L001496,S0156,J014,v1.1,0.174,0.1281,0.046,5,0,0,0,none,0.178,2,rural
L001505,S0244,J042,v1.1,0.9243,0.8603,0.0641,3,0,0,1,false_positive,0.32,2,urban
L001519,S0276,J048,v1.0,0.4628,0.4628,0.0,4,0,0,0,none,0.0,2,rural
L001522,S0091,J021,v1.0,0.094,0.094,0.0,5,0,0,0,none,0.0,2,urban
L001530,S0220,J043,v1.2,0.6271,0.5406,0.0864,3,0,0,0,none,0.433,2,rural
