student_id,college_tier,region,skill_score,verified_skills,years_experience
S0000,3,semi_urban,4.0,2,0.0
S0001,2,urban,2.8,4,1.2
S0002,3,semi_urban,3.29,4,0.0
S0003,2,semi_urban,1.07,7,1.5
S0004,1,rural,2.07,4,1.5
S0005,3,urban,2.76,8,2.3
S0006,3,urban,2.14,7,2.5
S0007,3,semi_urban,3.57,8,1.7
S0008,1,urban,4.6,2,1.1
S0009,2,urban,2.06,8,1.9
S0010,2,urban,2.33,6,1.1
S0011,3,urban,3.19,8,1.5
S0012,2,urban,4.29,4,2.3
S0013,3,urban,2.02,8,1.1
S0014,2,urban,3.2,6,2.1
S0015,1,urban,4.46,2,2.0
S0016,2,urban,1.68,4,0.7
S0017,1,semi_urban,1.98,2,2.3
S0018,3,urban,2.66,8,2.1
S0019,2,rural,2.58,4,1.6
S0020,3,rural,3.65,3,0.9
S0021,2,urban,3.19,5,0.8
S0022,3,urban,1.58,4,1.1
S0023,3,semi_urban,3.41,2,1.9
S0024,3,rural,2.54,7,0.7
S0025,1,semi_urban,4.02,7,1.9
S0026,2,rural,2.5,7,0.5
S0027,1,semi_urban,2.49,6,1.3
S0028,1,semi_urban,3.43,4,1.6
S0029,2,urban,3.61,5,3.5
S0030,3,semi_urban,3.36,5,0.4
S0031,3,urban,1.65,3,2.7
S0032,2,semi_urban,3.43,2,1.6
S0033,2,rural,2.17,3,1.8
S0034,2,urban,3.19,5,1.6
S0035,1,semi_urban,1.86,3,1.9
S0036,1,urban,3.36,2,1.4
S0037,2,semi_urban,2.35,7,2.7
S0038,1,urban,1.97,4,1.1
S0039,2,rural,3.57,6,2.4
S0040,2,urban,3.19,5,1.0
S0041,3,rural,2.51,7,1.5
S0042,3,rural,4.16,7,0.6
S0043,2,semi_urban,2.65,4,1.9
S0044,3,semi_urban,3.03,7,2.7
S0045,3,semi_urban,3.22,4,1.4
S0046,2,rural,2.5,7,1.3
S0047,2,urban,3.38,4,0.6
S0048,2,semi_urban,2.57,2,1.3
S0049,1,urban,2.67,7,0.2
S0050,1,semi_urban,4.09,2,0.8
S0051,1,urban,2.17,7,1.7
S0052,3,semi_urban,1.07,2,2.6
S0053,2,semi_urban,4.29,3,3.7
S0054,3,urban,5.0,6,1.0
S0055,3,semi_urban,2.68,8,2.6
S0056,2,semi_urban,1.45,4,1.7
S0057,2,semi_urban,2.75,2,1.4
S0058,1,urban,2.77,3,1.8
S0059,1,semi_urban,2.85,8,1.5
S0060,2,rural,2.11,7,1.6
S0061,2,urban,3.46,2,1.2
S0062,2,urban,3.42,4,0.4
S0063,3,urban,1.8,3,0.3
S0064,2,semi_urban,3.56,3,2.0
S0065,2,urban,4.64,7,1.3
S0066,2,semi_urban,3.14,6,1.0
S0067,2,semi_urban,2.73,3,1.5
S0068,1,urban,2.89,6,2.1
S0069,2,rural,3.49,4,1.6
S0070,1,semi_urban,1.62,2,1.0
S0071,2,urban,3.13,5,2.5
S0072,3,urban,2.69,3,2.8
S0073,1,urban,4.48,3,1.9
S0074,1,urban,2.86,8,2.3
S0075,2,urban,4.33,6,2.5
S0076,2,rural,2.12,2,2.4
S0077,2,urban,3.47,7,2.0
S0078,2,urban,3.26,6,2.0
S0079,3,semi_urban,2.3,8,1.9
S0080,2,semi_urban,3.14,7,0.6
S0081,2,rural,3.97,4,2.1
S0082,3,semi_urban,2.74,5,0.4
S0083,1,urban,1.65,5,0.9
S0084,1,urban,2.99,7,2.5
S0085,1,rural,2.28,3,2.2
S0086,3,semi_urban,2.73,4,2.7
S0087,2,rural,2.93,3,1.3
S0088,1,urban,1.64,4,0.6
S0089,2,rural,1.71,3,1.3
S0090,1,semi_urban,3.39,2,1.6
S0091,2,urban,2.58,8,1.6
S0092,2,semi_urban,0.95,2,2.4
S0093,2,semi_urban,3.63,8,1.2
S0094,2,urban,3.22,2,1.8
S0095,2,urban,2.43,7,0.7
S0096,2,rural,1.95,4,1.9
S0097,1,urban,3.67,5,1.5
S0098,1,urban,3.28,3,0.9
S0099,3,urban,4.91,5,1.3
S0100,3,urban,3.34,5,1.4
S0101,2,rural,3.31,5,1.3
S0102,2,semi_urban,2.87,4,2.9
S0103,3,urban,3.65,5,1.4
S0104,3,rural,3.5,7,1.3
S0105,3,rural,4.0,5,0.0
S0106,2,urban,2.58,4,0.8
S0107,2,rural,2.65,2,1.3
S0108,1,urban,2.62,4,1.0
S0109,3,rural,3.63,2,2.6
S0110,2,semi_urban,4.2,3,1.4
S0111,1,semi_urban,2.63,8,2.5
S0112,2,urban,2.66,2,1.5
S0113,2,rural,3.25,5,1.5
S0114,1,urban,2.8,7,1.4
S0115,3,urban,3.76,8,1.5
S0116,3,urban,1.2,3,2.9
S0117,3,semi_urban,2.34,3,0.0
S0118,2,urban,2.37,4,0.0
S0119,2,rural,1.14,5,1.1
S0120,2,semi_urban,2.23,8,1.5
S0121,2,urban,2.27,3,2.1
S0122,1,urban,2.84,3,1.9
S0123,2,urban,3.89,3,1.2
S0124,1,semi_urban,2.8,8,2.3
S0125,2,rural,2.18,2,2.3
S0126,2,urban,2.95,4,1.6
S0127,1,rural,3.84,2,2.3
S0128,1,urban,2.22,3,1.7
S0129,2,rural,2.27,8,1.1
S0130,1,rural,3.45,2,2.1
S0131,3,semi_urban,2.82,4,1.6
S0132,2,semi_urban,3.52,8,1.5
S0133,2,rural,2.99,6,2.7
S0134,2,urban,3.56,2,0.0
S0135,1,urban,2.17,5,0.4
S0136,3,urban,2.99,8,0.6
S0137,2,semi_urban,2.83,4,1.2
S0138,3,semi_urban,2.03,5,1.3
S0139,1,semi_urban,1.75,5,0.3
S0140,2,rural,3.55,6,0.7
S0141,2,urban,2.72,3,0.8
S0142,3,semi_urban,2.18,7,3.5
S0143,2,urban,2.92,8,2.9
S0144,2,urban,3.9,2,1.2
S0145,2,semi_urban,1.18,7,1.2
S0146,2,rural,1.8,7,0.6
S0147,2,semi_urban,2.26,7,0.0
S0148,2,urban,4.17,4,1.4
S0149,1,semi_urban,3.23,5,0.7
S0150,3,urban,3.61,7,1.4
S0151,3,rural,2.09,3,0.2
S0152,1,semi_urban,2.1,7,0.9
S0153,2,urban,3.36,8,1.6
S0154,1,urban,3.05,6,1.8
S0155,2,urban,3.44,4,1.8
S0156,2,rural,2.85,5,0.4
S0157,2,urban,3.22,2,2.2
S0158,3,semi_urban,3.13,8,0.9
S0159,3,semi_urban,3.62,4,2.0
S0160,1,semi_urban,3.65,2,1.5
S0161,3,urban,1.7,7,0.4
S0162,1,rural,1.2,6,1.2
S0163,1,urban,3.8,6,1.8
S0164,2,semi_urban,3.95,2,2.0
S0165,2,semi_urban,2.18,7,1.4
S0166,3,semi_urban,1.51,6,2.7
S0167,3,rural,3.08,7,2.3
S0168,2,urban,3.74,7,1.3
S0169,3,semi_urban,4.44,3,2.1
S0170,2,urban,3.41,3,3.0
S0171,2,urban,2.7,8,3.1
S0172,2,urban,2.29,5,0.5
S0173,3,urban,3.01,5,0.8
S0174,1,urban,2.76,4,2.7
S0175,1,urban,2.19,6,0.7
S0176,2,urban,4.64,7,0.4
S0177,3,semi_urban,4.43,2,1.1
S0178,3,semi_urban,3.91,5,1.8
S0179,3,urban,2.26,8,1.4
S0180,3,urban,3.68,3,1.0
S0181,3,urban,3.51,3,1.0
S0182,2,semi_urban,3.35,8,0.9
S0183,2,urban,4.0,2,0.8
S0184,3,urban,3.51,4,3.3
S0185,2,urban,3.59,5,1.7
S0186,2,urban,3.51,7,2.2
S0187,1,urban,3.27,2,1.1
S0188,3,semi_urban,1.57,5,1.4
S0189,2,semi_urban,3.07,3,0.9
S0190,3,semi_urban,2.56,7,0.0
S0191,1,semi_urban,1.98,6,0.4
S0192,1,semi_urban,4.35,5,0.1
S0193,3,urban,4.38,4,0.0
S0194,1,semi_urban,4.09,3,0.5
S0195,1,semi_urban,3.2,8,2.6
S0196,2,urban,4.08,6,1.5
S0197,3,semi_urban,3.01,4,2.5
S0198,1,urban,3.16,4,1.8
S0199,2,semi_urban,2.13,7,2.1
S0200,3,semi_urban,3.32,7,0.8
S0201,3,rural,3.05,5,1.9
S0202,2,rural,1.96,4,2.1
S0203,1,semi_urban,2.96,6,1.0
S0204,1,semi_urban,2.94,6,1.9
S0205,1,semi_urban,4.44,6,2.0
S0206,1,urban,3.72,2,1.1
S0207,2,rural,3.01,5,0.6
S0208,1,urban,3.2,6,0.6
S0209,2,urban,3.04,8,1.6
S0210,2,urban,2.84,5,1.8
S0211,2,rural,2.13,4,0.9
S0212,1,urban,2.88,5,1.5
S0213,3,urban,2.4,3,2.0
S0214,3,urban,2.0,2,2.0
S0215,3,urban,3.41,6,2.7
S0216,1,urban,3.31,8,2.5
S0217,1,semi_urban,1.57,7,0.7
S0218,3,urban,2.9,6,2.8
S0219,2,rural,3.8,2,1.1
S0220,2,rural,3.85,8,2.3
S0221,2,urban,3.82,5,1.6
S0222,2,urban,3.03,4,1.2
S0223,3,semi_urban,2.32,8,0.1
S0224,2,urban,2.13,7,1.4
S0225,3,urban,3.28,7,0.3
S0226,1,rural,3.3,3,2.3
S0227,2,rural,4.03,8,2.7
S0228,2,semi_urban,3.88,5,0.9
S0229,1,urban,2.89,5,1.7
S0230,1,semi_urban,2.0,7,0.9
S0231,2,semi_urban,2.74,6,1.0
S0232,3,urban,3.17,3,2.1
S0233,2,semi_urban,2.84,4,1.5
S0234,3,urban,2.54,4,2.9
S0235,3,urban,3.2,8,1.1
S0236,2,semi_urban,2.6,7,2.3
S0237,3,urban,2.5,4,1.6
S0238,1,urban,3.25,7,2.1
S0239,1,rural,2.68,7,1.1
S0240,3,rural,3.2,4,1.5
S0241,3,semi_urban,3.22,4,1.4
S0242,1,rural,2.09,8,0.8
S0243,2,rural,2.62,5,2.0
S0244,2,urban,4.15,3,2.0
S0245,3,urban,2.07,7,2.0
S0246,2,urban,1.31,6,2.7
S0247,2,urban,1.51,5,2.7
S0248,2,semi_urban,3.02,7,1.2
S0249,2,urban,3.02,8,1.8
S0250,2,urban,2.91,4,1.0
S0251,3,urban,3.97,4,1.5
S0252,2,urban,0.86,3,1.0
S0253,1,rural,3.32,6,2.8
S0254,1,urban,4.25,4,1.8
S0255,3,urban,2.1,4,1.3
S0256,3,urban,2.7,6,2.5
S0257,1,urban,2.4,4,0.0
S0258,1,semi_urban,2.28,5,0.0
S0259,2,urban,2.74,5,2.1
S0260,1,urban,4.14,3,1.5
S0261,3,urban,4.47,2,1.7
S0262,2,rural,2.73,7,0.4
S0263,1,semi_urban,4.52,2,1.5
S0264,3,semi_urban,3.03,4,3.1
S0265,1,semi_urban,4.4,6,2.2
S0266,2,semi_urban,2.93,2,1.6
S0267,1,urban,3.1,6,1.1
S0268,1,urban,3.29,7,1.2
S0269,1,semi_urban,5.0,6,0.0
S0270,1,urban,3.68,4,1.7
S0271,1,rural,2.43,2,2.2
S0272,1,urban,3.78,8,0.2
S0273,2,semi_urban,2.71,4,1.0
S0274,2,rural,2.61,7,0.6
S0275,2,semi_urban,3.73,3,0.7
S0276,2,rural,3.02,3,1.5
S0277,2,semi_urban,3.22,7,0.0
S0278,3,rural,3.01,8,2.0
S0279,3,urban,3.27,8,2.1
S0280,1,urban,3.34,7,1.3
S0281,1,semi_urban,1.45,3,0.0
S0282,1,urban,3.53,8,0.7
S0283,1,urban,2.21,6,2.5
S0284,2,rural,1.85,3,0.0
S0285,2,semi_urban,2.95,2,1.2
S0286,1,urban,3.07,8,0.6
S0287,2,urban,2.45,3,2.1
S0288,2,urban,3.66,7,1.0
S0289,1,urban,1.93,2,1.8
S0290,3,rural,2.67,3,2.0
S0291,1,urban,2.53,3,3.0
S0292,3,urban,2.96,3,1.3
S0293,1,semi_urban,3.22,6,1.8
S0294,3,urban,2.19,8,0.3
S0295,3,urban,3.58,8,2.5
S0296,3,semi_urban,3.05,7,0.9
S0297,3,semi_urban,1.49,3,1.1
S0298,3,rural,1.43,8,1.5
S0299,2,semi_urban,2.99,5,0.2
