candidate_id,name,skills,experience_years,education,certifications
1,Candidate_1,"C++,SQL,Git",2.1,PhD,"AWS Certified,CompTIA"
2,Candidate_2,"React,Docker,C++",6.3,Masters,
3,Candidate_3,"React,C++,Git,Java",6.1,Masters,"PMP,Scrum Master"
4,Candidate_4,"C++,React,Python,Machine Learning",2.0,Masters,"Google Cloud,Scrum Master,AWS Certified"
5,Candidate_5,"Python,AWS",9.3,PhD,"Google Cloud,CompTIA"
6,Candidate_6,"C++,Java,Python,Node.js,AWS,SQL",8.5,Bachelors,AWS Certified
7,Candidate_7,"Docker,C++,Machine Learning,Python",5.1,PhD,
8,Candidate_8,"AWS,Docker,Java,Python,SQL",3.4,Bachelors,AWS Certified
9,Candidate_9,"SQL,Docker",4.4,PhD,PMP
10,Candidate_10,"Machine Learning,AWS,Docker",9.7,Bachelors,Scrum Master
11,Candidate_11,"Python,Machine Learning",4.4,Bachelors,"PMP,CompTIA,Scrum Master"
12,Candidate_12,"SQL,AWS,Node.js",5.1,Masters,"Google Cloud,CompTIA,Cisco"
13,Candidate_13,"Node.js,AWS,Java,SQL,Python",1.5,Bachelors,
14,Candidate_14,"Docker,AWS,Machine Learning,Git,React",7.3,PhD,"CompTIA,AWS Certified"
15,Candidate_15,"C++,React",1.5,Masters,"CompTIA,Scrum Master"
16,Candidate_16,"SQL,Python,Git",8.6,Bachelors,Cisco
17,Candidate_17,"Java,Python,SQL",8.5,PhD,"PMP,Google Cloud"
18,Candidate_18,"SQL,React,Node.js,Machine Learning,Docker,Git",6.9,Bachelors,
19,Candidate_19,"Docker,Java,Git",4.9,Bachelors,AWS Certified
20,Candidate_20,"SQL,Java,React,Git",2.8,Masters,"Scrum Master,Cisco"
21,Candidate_21,"Machine Learning,AWS",6.9,Bachelors,AWS Certified
22,Candidate_22,"Node.js,Git,AWS,React,Docker,SQL",8.6,Bachelors,
23,Candidate_23,"Java,React,C++,AWS,Machine Learning,Python",6.4,Masters,
24,Candidate_24,"C++,React,AWS,Machine Learning,Python",8.3,Masters,"Cisco,CompTIA"
25,Candidate_25,"Git,SQL",4.7,Masters,CompTIA
26,Candidate_26,"React,Java",7.8,Bachelors,
27,Candidate_27,"Python,Machine Learning,Java,Node.js",9.7,Masters,"AWS Certified,CompTIA,Google Cloud"
28,Candidate_28,"Node.js,AWS",5.0,Bachelors,Cisco
29,Candidate_29,"React,C++,Git,Docker,AWS",0.9,Masters,AWS Certified
30,Candidate_30,"Node.js,Java",5.9,Bachelors,Cisco
31,Candidate_31,"Node.js,Docker",4.0,PhD,"Cisco,PMP"
32,Candidate_32,"SQL,Python,React,Node.js,AWS",1.5,PhD,"CompTIA,PMP"
33,Candidate_33,"SQL,Python,Git,React,Machine Learning",2.8,PhD,
34,Candidate_34,"Java,Machine Learning,AWS,Docker,C++",8.9,PhD,"Google Cloud,Cisco,PMP"
35,Candidate_35,"Git,C++,Node.js,Java",3.3,Bachelors,"Scrum Master,Cisco,AWS Certified"
36,Candidate_36,"Node.js,Python,Java,React,C++",5.8,PhD,
37,Candidate_37,"C++,SQL",1.9,Masters,
38,Candidate_38,"Machine Learning,C++,Docker",2.2,Bachelors,
39,Candidate_39,"AWS,Python,Node.js,Machine Learning",5.2,Masters,"CompTIA,Google Cloud"
40,Candidate_40,"C++,Node.js",8.1,PhD,
41,Candidate_41,"Python,React",6.1,Bachelors,"Scrum Master,CompTIA,AWS Certified"
42,Candidate_42,"Node.js,Machine Learning,Python",9.3,PhD,"Cisco,Scrum Master"
43,Candidate_43,"C++,Docker,Python",3.6,Bachelors,"CompTIA,Scrum Master"
44,Candidate_44,"Machine Learning,SQL,AWS",7.3,Masters,Scrum Master
45,Candidate_45,"React,Java,C++,AWS",7.3,Masters,
46,Candidate_46,"Machine Learning,C++",9.1,Bachelors,
47,Candidate_47,"Python,Node.js,Docker,C++,Java",6.1,Bachelors,"Cisco,AWS Certified"
48,Candidate_48,"Machine Learning,SQL,Node.js",5.2,Bachelors,"PMP,CompTIA"
49,Candidate_49,"Docker,React",1.8,PhD,CompTIA
50,Candidate_50,"Docker,Git,SQL,Java,C++,Node.js",1.0,Masters,"AWS Certified,CompTIA,Scrum Master"
51,Candidate_51,"Docker,React,Machine Learning,Git,AWS",8.2,PhD,
52,Candidate_52,"AWS,Git,C++,Java,React",4.4,Masters,AWS Certified
53,Candidate_53,"Docker,Machine Learning,AWS,React",1.6,Masters,
54,Candidate_54,"AWS,C++,Docker,Java,Node.js",4.6,Masters,
55,Candidate_55,"SQL,Git,React",9.6,PhD,Google Cloud
56,Candidate_56,"SQL,Machine Learning",8.6,Masters,
57,Candidate_57,"SQL,Java,Python,Git",5.0,Bachelors,Cisco
58,Candidate_58,"Python,AWS",6.4,Masters,"Cisco,AWS Certified,Scrum Master"
59,Candidate_59,"Python,Machine Learning,SQL,React",0.5,Bachelors,
60,Candidate_60,"Git,SQL,Docker,Java,Node.js,Python",2.4,PhD,CompTIA
61,Candidate_61,"SQL,Python,AWS",3.7,Masters,"CompTIA,Cisco"
62,Candidate_62,"Machine Learning,SQL,React,Docker,Java,Python",2.0,Bachelors,
63,Candidate_63,"C++,AWS,Java,Docker,Machine Learning",1.2,Masters,"AWS Certified,CompTIA"
64,Candidate_64,"Node.js,AWS",3.5,PhD,CompTIA
65,Candidate_65,"Machine Learning,Python,Docker",6.1,PhD,"Cisco,AWS Certified"
66,Candidate_66,"AWS,Machine Learning,Python,C++,Node.js,Git",8.4,Masters,"Scrum Master,Google Cloud,AWS Certified"
67,Candidate_67,"C++,React,Docker,AWS,Python",1.4,Masters,"Google Cloud,PMP,Scrum Master"
68,Candidate_68,"SQL,Git,Node.js",3.4,Bachelors,"CompTIA,Cisco"
69,Candidate_69,"Node.js,Docker,AWS,SQL,Java",8.8,Masters,
70,Candidate_70,"Docker,Python,AWS",8.7,PhD,"Google Cloud,Scrum Master"
71,Candidate_71,"Node.js,React,Java,Docker,Python,Git",3.9,PhD,Google Cloud
72,Candidate_72,"SQL,Git,C++",2.6,Bachelors,Google Cloud
73,Candidate_73,"SQL,Machine Learning,AWS,C++,Docker,Git",6.0,Bachelors,Cisco
74,Candidate_74,"Node.js,React,SQL",7.6,PhD,"Google Cloud,CompTIA"
75,Candidate_75,"Git,React,Machine Learning,Docker,Node.js,AWS",2.5,PhD,"Google Cloud,Cisco"
76,Candidate_76,"Java,React",7.7,PhD,AWS Certified
77,Candidate_77,"React,Python,Docker,SQL,Machine Learning",7.7,Bachelors,
78,Candidate_78,"SQL,Docker,C++",7.9,Masters,"Google Cloud,CompTIA,Scrum Master"
79,Candidate_79,"React,Git,Java,SQL,Node.js",0.8,PhD,
80,Candidate_80,"C++,AWS,Machine Learning",9.0,Masters,Scrum Master
81,Candidate_81,"Machine Learning,Java,Git,Docker,AWS",3.7,Masters,CompTIA
82,Candidate_82,"Java,C++",1.4,Masters,"AWS Certified,PMP"
83,Candidate_83,"Java,C++,Machine Learning,Docker,Git",8.1,Masters,"Cisco,CompTIA"
84,Candidate_84,"Git,Machine Learning",0.5,Masters,"Scrum Master,PMP,AWS Certified"
85,Candidate_85,"Python,SQL,Git,Java,Node.js,Machine Learning",8.4,Masters,"PMP,Cisco,CompTIA"
86,Candidate_86,"React,Docker,Java,Machine Learning",0.8,PhD,Google Cloud
87,Candidate_87,"C++,React,Java,AWS,SQL",6.1,Masters,CompTIA
88,Candidate_88,"Node.js,AWS,Docker,Machine Learning",6.2,PhD,"Scrum Master,Cisco"
89,Candidate_89,"Node.js,Java,React,SQL",3.0,Bachelors,PMP
90,Candidate_90,"Docker,AWS,C++,SQL",5.0,Bachelors,PMP
91,Candidate_91,"C++,Git,Java",2.4,PhD,Google Cloud
92,Candidate_92,"Git,SQL,Machine Learning",9.1,PhD,"PMP,AWS Certified,Cisco"
93,Candidate_93,"SQL,Node.js,Java",4.0,Bachelors,
94,Candidate_94,"C++,React",9.4,Bachelors,CompTIA
95,Candidate_95,"SQL,C++,React,AWS",8.8,Bachelors,"AWS Certified,Cisco"
96,Candidate_96,"Node.js,Docker",3.0,Masters,
97,Candidate_97,"Java,Node.js,Python",6.0,PhD,
98,Candidate_98,"React,Java,Node.js,C++,SQL",0.6,Masters,PMP
99,Candidate_99,"Python,SQL",6.5,Bachelors,"CompTIA,Scrum Master,Google Cloud"
100,Candidate_100,"React,SQL",1.6,PhD,"PMP,Google Cloud,Scrum Master"
101,Candidate_101,"C++,AWS,Python",1.0,Bachelors,"CompTIA,PMP,Google Cloud"
102,Candidate_102,"Java,Docker,AWS,React,Git,C++",6.7,Bachelors,"PMP,Google Cloud,CompTIA"
103,Candidate_103,"Node.js,Docker,Java",3.8,Masters,AWS Certified
104,Candidate_104,"SQL,Machine Learning,Python,C++",9.5,Masters,
105,Candidate_105,"Python,Docker,Node.js,React,Git,C++",1.2,PhD,
106,Candidate_106,"React,C++",5.5,Masters,"CompTIA,Google Cloud"
107,Candidate_107,"AWS,React,SQL,Docker,Java",0.3,Masters,"Google Cloud,Scrum Master,Cisco"
108,Candidate_108,"Python,Machine Learning,Git,AWS",1.9,Masters,"PMP,Cisco,CompTIA"
109,Candidate_109,"Python,Git",8.6,Masters,"Cisco,Google Cloud,AWS Certified"
110,Candidate_110,"Git,Machine Learning,Java,SQL,Python,AWS",6.9,PhD,
111,Candidate_111,"AWS,Java,Python,C++",5.9,Masters,"Cisco,Google Cloud,AWS Certified"
112,Candidate_112,"AWS,Git,Docker,Node.js,C++",5.6,Masters,"PMP,AWS Certified,CompTIA"
113,Candidate_113,"React,C++,Python,Node.js",4.1,Bachelors,"Scrum Master,Google Cloud,Cisco"
114,Candidate_114,"Git,Docker,Java",7.4,Bachelors,
115,Candidate_115,"Docker,React,SQL,Node.js,Python,AWS",1.8,Masters,"Scrum Master,AWS Certified,Google Cloud"
116,Candidate_116,"Python,Git,C++",6.3,Masters,"Cisco,Google Cloud,Scrum Master"
117,Candidate_117,"C++,React",6.8,Masters,CompTIA
118,Candidate_118,"Git,React,Node.js",3.3,PhD,"Cisco,Google Cloud,AWS Certified"
119,Candidate_119,"Python,Git,Docker,C++,Node.js",5.2,Masters,
120,Candidate_120,"SQL,Git,Python,Node.js,C++,AWS",3.2,PhD,
121,Candidate_121,"Git,Java,React",7.7,PhD,
122,Candidate_122,"Machine Learning,Python",7.0,Masters,Google Cloud
123,Candidate_123,"Machine Learning,React,Node.js,Docker,SQL",8.9,Bachelors,"PMP,CompTIA"
124,Candidate_124,"React,AWS",7.3,Masters,"Cisco,CompTIA"
125,Candidate_125,"AWS,Python",4.6,Masters,Google Cloud
126,Candidate_126,"Java,React,Git,Python",9.8,Bachelors,"CompTIA,Scrum Master"
127,Candidate_127,"C++,Python",2.7,Masters,"AWS Certified,PMP,Scrum Master"
128,Candidate_128,"Docker,Node.js,Machine Learning",2.1,PhD,"Cisco,Google Cloud,AWS Certified"
129,Candidate_129,"Java,Git,SQL,React,AWS",7.8,PhD,"Scrum Master,PMP,Cisco"
130,Candidate_130,"Node.js,Git,Docker",0.4,Bachelors,"Scrum Master,CompTIA"
131,Candidate_131,"Node.js,AWS,SQL,C++,Git,Machine Learning",5.3,Masters,Scrum Master
132,Candidate_132,"C++,Node.js,Java,AWS",1.1,Masters,"Cisco,AWS Certified,CompTIA"
133,Candidate_133,"Node.js,SQL,C++,Machine Learning,Git,React",8.6,PhD,"Google Cloud,Scrum Master,PMP"
134,Candidate_134,"Machine Learning,Java,Docker,Git",6.2,PhD,Cisco
135,Candidate_135,"Git,Python,SQL,AWS",1.1,PhD,"Google Cloud,PMP,AWS Certified"
136,Candidate_136,"Node.js,Docker",7.0,PhD,
137,Candidate_137,"React,Node.js",6.3,Masters,
138,Candidate_138,"Node.js,SQL,Java,React,C++,Machine Learning",7.8,Masters,CompTIA
139,Candidate_139,"Machine Learning,SQL",7.2,Masters,"Scrum Master,CompTIA"
140,Candidate_140,"Java,Python,Git,Docker,Machine Learning,SQL",9.4,Bachelors,
141,Candidate_141,"Git,Node.js,Machine Learning,Python,AWS,C++",9.7,Bachelors,
142,Candidate_142,"Java,Git,React,AWS",7.5,Bachelors,Google Cloud
143,Candidate_143,"Java,Python,Git,SQL",7.0,Bachelors,Scrum Master
144,Candidate_144,"AWS,Node.js,React,C++",3.9,PhD,"Cisco,Scrum Master"
145,Candidate_145,"Node.js,Machine Learning,Java,C++,Python",6.4,Masters,"PMP,Cisco"
146,Candidate_146,"React,Node.js",6.1,Masters,"CompTIA,PMP"
147,Candidate_147,"Machine Learning,SQL,Node.js,Git,AWS,React",3.2,Masters,"Google Cloud,Scrum Master,PMP"
148,Candidate_148,"SQL,AWS,Git",4.6,Masters,Scrum Master
149,Candidate_149,"Java,C++,Git,AWS,SQL,Python",4.3,Masters,"CompTIA,AWS Certified"
150,Candidate_150,"Node.js,AWS,Python,SQL,C++",0.4,PhD,Scrum Master
151,Candidate_151,"Machine Learning,Git,C++",0.5,Bachelors,"CompTIA,Cisco"
152,Candidate_152,"C++,AWS,Docker,Node.js",9.2,PhD,
153,Candidate_153,"SQL,React,Java,C++,AWS",8.6,Bachelors,"PMP,CompTIA,Cisco"
154,Candidate_154,"Git,React",5.3,Bachelors,Google Cloud
155,Candidate_155,"SQL,Java,Node.js,AWS,React",3.5,PhD,
156,Candidate_156,"AWS,Python,Machine Learning,Docker",2.6,PhD,PMP
157,Candidate_157,"C++,React,Node.js,Java,Python",4.0,PhD,"Google Cloud,PMP"
158,Candidate_158,"SQL,C++,React,Git,Java",6.2,Bachelors,"CompTIA,PMP,Scrum Master"
159,Candidate_159,"Git,Docker,Node.js,Machine Learning",2.9,Masters,"Google Cloud,Cisco"
160,Candidate_160,"Git,SQL,Java,Machine Learning,Docker,C++",5.3,PhD,AWS Certified
161,Candidate_161,"Node.js,Python",6.6,PhD,"Cisco,Google Cloud,Scrum Master"
162,Candidate_162,"C++,Docker,Python",0.3,Bachelors,Google Cloud
163,Candidate_163,"Machine Learning,Docker,Python",7.0,PhD,Scrum Master
164,Candidate_164,"Node.js,C++,Machine Learning,Python,Java",1.4,Bachelors,"AWS Certified,PMP"
165,Candidate_165,"AWS,C++,Python,Git",3.8,Masters,"PMP,CompTIA,Cisco"
166,Candidate_166,"Machine Learning,Python",6.8,Bachelors,Scrum Master
167,Candidate_167,"Java,Docker",9.8,Bachelors,CompTIA
168,Candidate_168,"Machine Learning,AWS",4.9,Bachelors,"AWS Certified,Cisco"
169,Candidate_169,"React,AWS,SQL,Docker",9.5,Bachelors,"Cisco,PMP,CompTIA"
170,Candidate_170,"Java,React,SQL,Machine Learning",7.0,Masters,Google Cloud
171,Candidate_171,"Node.js,Docker,React",2.8,Bachelors,
172,Candidate_172,"Node.js,C++,Docker,AWS",8.5,PhD,"Google Cloud,Cisco"
173,Candidate_173,"Java,C++",1.8,PhD,
174,Candidate_174,"AWS,C++",7.5,Bachelors,"AWS Certified,Scrum Master,Google Cloud"
175,Candidate_175,"C++,AWS",2.0,Masters,Cisco
176,Candidate_176,"Java,C++,React,SQL,Git,Docker",7.8,PhD,"Scrum Master,CompTIA,Google Cloud"
177,Candidate_177,"React,C++,SQL,Java,Docker,Python",4.0,PhD,"Cisco,AWS Certified,Scrum Master"
178,Candidate_178,"Git,React,C++",4.6,PhD,"CompTIA,Cisco,Google Cloud"
179,Candidate_179,"Machine Learning,AWS,Python,Docker",0.6,Bachelors,"PMP,Cisco,AWS Certified"
180,Candidate_180,"Java,Docker,Python,C++,Machine Learning,Node.js",0.7,PhD,"Google Cloud,AWS Certified,Scrum Master"
181,Candidate_181,"Machine Learning,C++,Java",7.6,PhD,"Cisco,PMP"
182,Candidate_182,"Python,SQL,Machine Learning",4.1,Bachelors,"AWS Certified,PMP"
183,Candidate_183,"Node.js,React,Docker,Machine Learning,Python,SQL",5.5,PhD,
184,Candidate_184,"SQL,C++,Machine Learning,Java,React,Docker",5.2,Bachelors,"Cisco,Scrum Master,PMP"
185,Candidate_185,"Python,AWS,Docker,Git,React",3.2,Bachelors,"CompTIA,PMP,AWS Certified"
186,Candidate_186,"Python,Docker,AWS",1.9,Bachelors,Scrum Master
187,Candidate_187,"AWS,Machine Learning,C++,SQL,Git,Node.js",9.4,Masters,"CompTIA,Scrum Master"
188,Candidate_188,"C++,React,Java,Git,AWS",0.8,PhD,"AWS Certified,Google Cloud,PMP"
189,Candidate_189,"Node.js,Machine Learning,SQL,AWS,React",4.5,PhD,Cisco
190,Candidate_190,"Java,React,AWS,Node.js,Git,SQL",6.5,Bachelors,"Cisco,AWS Certified"
191,Candidate_191,"SQL,Machine Learning,AWS",5.8,Masters,Cisco
192,Candidate_192,"Node.js,Docker,Java,AWS,React,C++",1.4,PhD,
193,Candidate_193,"React,Git,Java,AWS,Docker,C++",5.6,Bachelors,"Cisco,AWS Certified"
194,Candidate_194,"SQL,Machine Learning",1.8,Masters,CompTIA
195,Candidate_195,"C++,SQL,Java,React,Docker,Python",4.2,Masters,"Cisco,Google Cloud"
196,Candidate_196,"Machine Learning,Python,C++,AWS,Git",4.1,Bachelors,"Scrum Master,Cisco"
197,Candidate_197,"Docker,C++,React,Python,AWS",3.8,Bachelors,"AWS Certified,Scrum Master"
198,Candidate_198,"AWS,Java,SQL,Node.js",6.6,Masters,"CompTIA,Google Cloud,AWS Certified"
199,Candidate_199,"AWS,Docker,Python,Java,React",1.1,Masters,Google Cloud
200,Candidate_200,"Git,Machine Learning,AWS",6.0,Bachelors,
201,Candidate_201,"C++,Java,Git,Python,React",7.7,Masters,"Google Cloud,Scrum Master,PMP"
202,Candidate_202,"React,Node.js,SQL,Java,Docker,C++",2.2,Bachelors,AWS Certified
203,Candidate_203,"AWS,React",5.3,Bachelors,
204,Candidate_204,"Docker,Java,SQL",0.2,Masters,
205,Candidate_205,"Git,Docker",6.9,PhD,"Scrum Master,PMP,AWS Certified"
206,Candidate_206,"Node.js,Git,SQL,React,Python,Machine Learning",2.3,Bachelors,"PMP,Scrum Master,CompTIA"
207,Candidate_207,"C++,SQL,Node.js,Java,Git,Python",3.9,Masters,
208,Candidate_208,"C++,Docker,Node.js",5.3,Masters,"PMP,CompTIA"
209,Candidate_209,"Node.js,Git,Machine Learning,AWS,SQL",0.3,Masters,"CompTIA,Scrum Master"
210,Candidate_210,"Docker,Git,Machine Learning,C++,SQL,Node.js",0.7,PhD,"Google Cloud,PMP,CompTIA"
211,Candidate_211,"Node.js,Machine Learning,Python,Java,Git",1.5,Bachelors,"Google Cloud,PMP,AWS Certified"
212,Candidate_212,"SQL,Python,Java,React,Docker",6.6,Masters,
213,Candidate_213,"Node.js,SQL,Python,Docker,C++,Machine Learning",2.1,PhD,"Scrum Master,PMP"
214,Candidate_214,"Git,SQL",0.7,Bachelors,"Scrum Master,PMP"
215,Candidate_215,"Python,Git,AWS",8.0,PhD,"Scrum Master,Cisco,AWS Certified"
216,Candidate_216,"Node.js,Machine Learning,Git,SQL",1.7,Bachelors,Cisco
217,Candidate_217,"Python,SQL,Java",7.3,PhD,"AWS Certified,Cisco"
218,Candidate_218,"Machine Learning,Git",8.0,Bachelors,Google Cloud
219,Candidate_219,"Docker,Node.js,SQL,React",6.2,Masters,Google Cloud
220,Candidate_220,"Machine Learning,Python",2.5,PhD,"AWS Certified,Cisco,CompTIA"
221,Candidate_221,"Node.js,Python,Git,React,AWS",4.0,Masters,"PMP,Cisco,Google Cloud"
222,Candidate_222,"Node.js,C++,SQL",5.2,Masters,
223,Candidate_223,"Docker,Machine Learning,Python,Git,React,Node.js",2.8,PhD,
224,Candidate_224,"React,Machine Learning",0.3,Bachelors,
225,Candidate_225,"React,AWS,Python,Java",7.1,Masters,Cisco
226,Candidate_226,"SQL,Docker,C++",9.3,Masters,"AWS Certified,Google Cloud,PMP"
227,Candidate_227,"AWS,Python",0.1,Masters,PMP
228,Candidate_228,"Git,Node.js,C++,AWS,Machine Learning",5.9,Masters,"Scrum Master,AWS Certified"
229,Candidate_229,"C++,Python,AWS,Machine Learning",3.9,PhD,Google Cloud
230,Candidate_230,"Git,SQL,Node.js",5.3,Bachelors,AWS Certified
231,Candidate_231,"React,Docker,Java,C++",1.5,Bachelors,"Cisco,AWS Certified,Scrum Master"
232,Candidate_232,"AWS,Node.js,C++,Java,Docker,React",4.2,Bachelors,CompTIA
233,Candidate_233,"Git,C++,Machine Learning,SQL,Python",7.1,Bachelors,"Cisco,PMP,Google Cloud"
234,Candidate_234,"Java,Git,Docker,C++,Machine Learning",1.3,Masters,CompTIA
235,Candidate_235,"Git,AWS,Docker,Node.js,React,Machine Learning",7.1,Masters,"AWS Certified,CompTIA"
236,Candidate_236,"C++,React",5.5,Masters,"AWS Certified,Cisco,Google Cloud"
237,Candidate_237,"Node.js,Docker,React,Machine Learning,C++",2.0,Masters,Scrum Master
238,Candidate_238,"Node.js,Python",7.4,PhD,"Google Cloud,CompTIA"
239,Candidate_239,"Java,Git,AWS,Docker,Node.js,SQL",7.7,Bachelors,CompTIA
240,Candidate_240,"C++,AWS",7.0,PhD,"Scrum Master,CompTIA"
241,Candidate_241,"React,Machine Learning",6.7,PhD,PMP
242,Candidate_242,"Python,Git,Docker,React,C++",6.1,Bachelors,
243,Candidate_243,"Docker,Java,AWS,React,Node.js,Python",7.8,Masters,"AWS Certified,CompTIA,Cisco"
244,Candidate_244,"Machine Learning,Java,Git,React,AWS",6.9,Bachelors,"PMP,Cisco,CompTIA"
245,Candidate_245,"SQL,Node.js,Git,Python",6.8,Bachelors,Scrum Master
246,Candidate_246,"Docker,Python,React,Git",2.0,PhD,"Google Cloud,Scrum Master,AWS Certified"
247,Candidate_247,"Python,Node.js,C++,SQL,React,Machine Learning",3.2,PhD,"Cisco,AWS Certified,CompTIA"
248,Candidate_248,"Docker,Node.js",6.2,Masters,
249,Candidate_249,"Docker,SQL,C++,Python,Java,Machine Learning",3.6,Bachelors,"PMP,Google Cloud,Cisco"
250,Candidate_250,"Node.js,Git,AWS,C++,React,Python",7.5,Bachelors,"Scrum Master,Cisco,AWS Certified"
251,Candidate_251,"SQL,Java",8.1,Masters,"Cisco,PMP,CompTIA"
252,Candidate_252,"SQL,AWS,Docker,Node.js",1.9,Masters,
253,Candidate_253,"Machine Learning,C++",3.2,Bachelors,
254,Candidate_254,"SQL,React,Git,Node.js,AWS,Python",6.5,Bachelors,"PMP,AWS Certified,Cisco"
255,Candidate_255,"SQL,C++,Python",0.7,Masters,
256,Candidate_256,"Node.js,Machine Learning,C++",7.2,Bachelors,"Cisco,PMP"
257,Candidate_257,"Docker,SQL,Python,C++",5.1,Masters,
258,Candidate_258,"C++,Node.js,Machine Learning,Docker,SQL",4.6,PhD,
259,Candidate_259,"Java,React",7.0,Masters,AWS Certified
260,Candidate_260,"Python,React,SQL",6.1,Bachelors,"CompTIA,PMP"
261,Candidate_261,"SQL,React",8.9,Masters,"PMP,Scrum Master,Google Cloud"
262,Candidate_262,"React,Python,SQL,Java,AWS,Node.js",7.1,Masters,
263,Candidate_263,"Node.js,Python,AWS,SQL,C++,Docker",6.8,Masters,
264,Candidate_264,"Machine Learning,SQL,Git",2.8,PhD,"Scrum Master,CompTIA"
265,Candidate_265,"React,Node.js,AWS,Python,Java",3.5,Masters,Scrum Master
266,Candidate_266,"C++,Machine Learning,Java",2.0,Bachelors,CompTIA
267,Candidate_267,"AWS,C++",8.3,PhD,CompTIA
268,Candidate_268,"Git,C++,AWS",2.9,Masters,"PMP,Google Cloud,CompTIA"
269,Candidate_269,"Git,Python,AWS,React,SQL",4.4,Bachelors,PMP
270,Candidate_270,"AWS,Machine Learning,C++,Java,SQL",8.9,Bachelors,"Cisco,Google Cloud,CompTIA"
271,Candidate_271,"Node.js,AWS,Python",5.0,Bachelors,Scrum Master
272,Candidate_272,"SQL,C++,Node.js,Python,Docker",9.0,PhD,"Cisco,CompTIA,AWS Certified"
273,Candidate_273,"Machine Learning,AWS,Python,SQL",6.7,PhD,"Google Cloud,AWS Certified,Scrum Master"
274,Candidate_274,"SQL,Java,React,Python,C++",4.2,Masters,"Google Cloud,PMP,Cisco"
275,Candidate_275,"Java,Git",4.9,Bachelors,
276,Candidate_276,"Docker,SQL,C++,Machine Learning,Java,AWS",8.6,Bachelors,CompTIA
277,Candidate_277,"AWS,Python,SQL,Machine Learning",2.1,Bachelors,"Scrum Master,AWS Certified"
278,Candidate_278,"SQL,Docker,C++,Node.js",6.1,Masters,PMP
279,Candidate_279,"Docker,Machine Learning",2.2,PhD,"AWS Certified,Cisco"
280,Candidate_280,"SQL,Java,Machine Learning",3.1,Masters,"CompTIA,PMP"
281,Candidate_281,"Git,React,C++,SQL",9.5,Masters,CompTIA
282,Candidate_282,"Python,SQL",3.3,PhD,"CompTIA,Google Cloud"
283,Candidate_283,"Python,Docker,React,SQL,C++,Java",3.9,Bachelors,"Cisco,Scrum Master,PMP"
284,Candidate_284,"AWS,Python,SQL,Git",2.5,Bachelors,Cisco
285,Candidate_285,"SQL,Machine Learning,C++,AWS,Git",9.0,PhD,"Google Cloud,CompTIA,AWS Certified"
286,Candidate_286,"Docker,AWS,SQL",2.0,PhD,"CompTIA,Scrum Master,AWS Certified"
287,Candidate_287,"Docker,Python,AWS,C++",8.9,Bachelors,"PMP,CompTIA,Scrum Master"
288,Candidate_288,"Docker,Machine Learning,React",9.1,Bachelors,"Cisco,AWS Certified"
289,Candidate_289,"Python,Docker,SQL,Java",5.7,Masters,"Google Cloud,CompTIA,AWS Certified"
290,Candidate_290,"Node.js,SQL,AWS",0.5,PhD,
291,Candidate_291,"Git,Java",6.8,Bachelors,"PMP,Google Cloud,Cisco"
292,Candidate_292,"SQL,Java,C++,React,Node.js",2.9,Masters,Cisco
293,Candidate_293,"React,Java",7.2,Masters,"Scrum Master,CompTIA"
294,Candidate_294,"C++,Java,React",4.4,PhD,"AWS Certified,Google Cloud,Scrum Master"
295,Candidate_295,"Java,Git,C++",1.9,PhD,
296,Candidate_296,"SQL,C++",6.7,PhD,AWS Certified
297,Candidate_297,"React,Java",8.7,PhD,"AWS Certified,Scrum Master"
298,Candidate_298,"AWS,React",9.8,Bachelors,"PMP,Google Cloud"
299,Candidate_299,"Docker,Node.js,Git,C++",3.6,PhD,"Scrum Master,PMP,Google Cloud"
300,Candidate_300,"React,SQL,Docker,AWS",2.4,Bachelors,"Google Cloud,CompTIA,Scrum Master"
