student_id,job_id,explanation_text,quality_label,quality_reason,skill_gap_list,rank_position,audience
S0048,J005,You are rank #4. You are missing Ruby. There is no way to improve.,0,correct features but unhelpful and negative tone,"Ruby,Git",4,admin
S0025,J004,You're ranked #4 for this role. Missing: C++. Acquiring this skill could move you to #3.,1,"actionable, specific, mentions correct skills and rank",C++,4,admin
S0156,J003,Student has match_score weight 0.41 and ai_trust_score 0.99. Rank #5.,0,"correct but not actionable for student, no counterfactual","Docker,React",5,officer
S0039,J013,You are rank #4. You are missing Docker. There is no way to improve.,0,correct features but unhelpful and negative tone,Docker,4,admin
S0150,J009,You're ranked #5 for this role. Missing: AWS.,0,states incorrect rank,AWS,3,admin
S0089,J018,Good match overall. Student is recommended.,0,too generic,"Git,React",4,officer
S0176,J005,You are rank #4. You are missing Docker. There is no way to improve.,0,correct features but unhelpful and negative tone,Docker,4,officer
S0067,J010,"Your current position is #3. Gaps identified: Ruby. If you learn Ruby, you might jump to #2.",1,"actionable, specific, mentions correct skills and rank",Ruby,3,student
S0036,J008,Rank: 2. SQL is required. Adding it could shift you up to 1.,1,"actionable, specific, mentions correct skills and rank",SQL,2,student
S0172,J008,"Your current position is #3. Gaps identified: C++. If you learn C++, you might jump to #2.",1,"actionable, specific, mentions correct skills and rank","C++,Python",3,officer
S0116,J008,Rank: 3. Go is required. Adding it could shift you up to 2.,1,"actionable, specific, mentions correct skills and rank","Go,Git",3,admin
S0144,J013,Top features: match_score (0.41). Missing Azure. Rank change if Azure added: #4 -> #3.,1,"actionable, specific, mentions correct skills and rank","Azure,K8s",4,admin
S0032,J001,You are rank #2. You are missing K8s. There is no way to improve.,0,correct features but unhelpful and negative tone,"K8s,Git",2,officer
S0193,J011,Top features: match_score (0.41). Missing Python. Rank change if Python added: #4 -> #3.,1,"actionable, specific, mentions correct skills and rank","Python,Go",4,admin
S0049,J010,You are rank #3. Missing: AWS. Add it to improve.,0,hallucinated skill not in gap list,"SQL,C++",3,officer
S0020,J018,You're ranked #7 for this role. Missing: Java.,0,states incorrect rank,"Java,Docker",5,admin
S0169,J006,Top features: match_score (0.41). Missing Ruby. Rank change if Ruby added: #2 -> #1.,1,"actionable, specific, mentions correct skills and rank",Ruby,2,student
S0060,J006,You're ranked #7 for this role. Missing: React.,0,states incorrect rank,React,5,officer
S0159,J015,Rank: 2. K8s is required. Adding it could shift you up to 1.,1,"actionable, specific, mentions correct skills and rank",K8s,2,student
S0101,J007,You're ranked #7 for this role. Missing: Python.,0,states incorrect rank,"Python,Ruby",5,officer
S0014,J007,You are rank #2. You are missing Python. There is no way to improve.,0,correct features but unhelpful and negative tone,Python,2,student
S0013,J018,"Your current position is #2. Gaps identified: Go. If you learn Go, you might jump to #1.",1,"actionable, specific, mentions correct skills and rank",Go,2,student
S0026,J004,You're ranked #3 for this role. Missing: C++. Acquiring this skill could move you to #2.,1,"actionable, specific, mentions correct skills and rank","C++,Ruby",3,student
S0192,J017,Top features: match_score (0.41). Missing Docker. Rank change if Docker added: #5 -> #4.,1,"actionable, specific, mentions correct skills and rank",Docker,5,admin
S0200,J017,You're ranked #6 for this role. Missing: C++.,0,states incorrect rank,C++,4,student
S0109,J019,Rank: 5. K8s is required. Adding it could shift you up to 4.,1,"actionable, specific, mentions correct skills and rank",K8s,5,admin
S0186,J005,Good match overall. Student is recommended.,0,too generic,"Docker,Go",2,officer
S0068,J014,Rank: 2. Python is required. Adding it could shift you up to 1.,1,"actionable, specific, mentions correct skills and rank",Python,2,admin
S0144,J002,Top features: match_score (0.41). Missing React. Rank change if React added: #4 -> #3.,1,"actionable, specific, mentions correct skills and rank","React,Java",4,student
S0172,J019,You're ranked #3 for this role. Missing: React. Acquiring this skill could move you to #2.,1,"actionable, specific, mentions correct skills and rank",React,3,officer
S0136,J014,You are rank #5. You are missing Git. There is no way to improve.,0,correct features but unhelpful and negative tone,"Git,SQL",5,admin
S0180,J018,You are rank #4. You are missing SQL. There is no way to improve.,0,correct features but unhelpful and negative tone,SQL,4,officer
S0039,J012,Top features: match_score (0.41). Missing K8s. Rank change if K8s added: #4 -> #3.,1,"actionable, specific, mentions correct skills and rank",K8s,4,admin
S0010,J014,Top features: match_score (0.41). Missing Python. Rank change if Python added: #4 -> #3.,1,"actionable, specific, mentions correct skills and rank",Python,4,officer
S0121,J002,Top features: match_score (0.41). Missing Git. Rank change if Git added: #2 -> #1.,1,"actionable, specific, mentions correct skills and rank",Git,2,officer
S0154,J005,Student has match_score weight 0.41 and ai_trust_score 0.99. Rank #3.,0,"correct but not actionable for student, no counterfactual",Go,3,student
S0014,J003,You're ranked #5 for this role. Missing: Python. Acquiring this skill could move you to #4.,1,"actionable, specific, mentions correct skills and rank",Python,5,admin
S0110,J019,You're ranked #3 for this role. Missing: Go. Acquiring this skill could move you to #2.,1,"actionable, specific, mentions correct skills and rank","Go,Python",3,officer
S0063,J020,"Your current position is #2. Gaps identified: SQL. If you learn SQL, you might jump to #1.",1,"actionable, specific, mentions correct skills and rank",SQL,2,officer
S0124,J011,Top features: match_score (0.41). Missing React. Rank change if React added: #4 -> #3.,1,"actionable, specific, mentions correct skills and rank",React,4,student
S0198,J017,Top features: match_score (0.41). Missing Git. Rank change if Git added: #4 -> #3.,1,"actionable, specific, mentions correct skills and rank",Git,4,student
S0100,J006,Good match overall. Student is recommended.,0,too generic,"Java,C++",3,admin
S0084,J004,You're ranked #2 for this role. Missing: Azure. Acquiring this skill could move you to #1.,1,"actionable, specific, mentions correct skills and rank","Azure,Python",2,officer
S0044,J009,Top features: match_score (0.41). Missing K8s. Rank change if K8s added: #2 -> #1.,1,"actionable, specific, mentions correct skills and rank","K8s,React",2,admin
S0143,J018,You're ranked #5 for this role. Missing: Docker. Acquiring this skill could move you to #4.,1,"actionable, specific, mentions correct skills and rank","Docker,Python",5,officer
S0069,J003,You are rank #4. You are missing SQL. There is no way to improve.,0,correct features but unhelpful and negative tone,"SQL,Go",4,admin
S0071,J001,Top features: match_score (0.41). Missing Git. Rank change if Git added: #2 -> #1.,1,"actionable, specific, mentions correct skills and rank","Git,Docker",2,student
S0005,J002,You're ranked #5 for this role. Missing: Python.,0,states incorrect rank,"Python,Azure",3,officer
S0099,J019,"Your current position is #4. Gaps identified: Python. If you learn Python, you might jump to #3.",1,"actionable, specific, mentions correct skills and rank",Python,4,student
S0168,J017,You're ranked #4 for this role. Missing: Java. Acquiring this skill could move you to #3.,1,"actionable, specific, mentions correct skills and rank","Java,K8s",4,admin
S0178,J011,Good match overall. Student is recommended.,0,too generic,SQL,4,admin
S0143,J016,Good match overall. Student is recommended.,0,too generic,"Python,K8s",3,student
S0008,J005,Good match overall. Student is recommended.,0,too generic,"Azure,SQL",5,admin
S0109,J013,Top features: match_score (0.41). Missing AWS. Rank change if AWS added: #3 -> #2.,1,"actionable, specific, mentions correct skills and rank","AWS,SQL",3,officer
S0126,J005,Rank: 4. Git is required. Adding it could shift you up to 3.,1,"actionable, specific, mentions correct skills and rank",Git,4,student
S0131,J012,You're ranked #7 for this role. Missing: Azure.,0,states incorrect rank,"Azure,React",5,student
S0023,J016,Student has match_score weight 0.41 and ai_trust_score 0.99. Rank #5.,0,"correct but not actionable for student, no counterfactual","K8s,C++",5,student
S0200,J003,Rank: 5. Go is required. Adding it could shift you up to 4.,1,"actionable, specific, mentions correct skills and rank","Go,Azure",5,student
S0115,J001,"Your current position is #3. Gaps identified: Docker. If you learn Docker, you might jump to #2.",1,"actionable, specific, mentions correct skills and rank",Docker,3,officer
S0084,J017,Rank: 2. AWS is required. Adding it could shift you up to 1.,1,"actionable, specific, mentions correct skills and rank","AWS,C++",2,student
S0071,J014,Good match overall. Student is recommended.,0,too generic,Ruby,4,student
S0142,J011,You are rank #2. You are missing Git. There is no way to improve.,0,correct features but unhelpful and negative tone,Git,2,officer
S0113,J016,You are rank #3. You are missing React. There is no way to improve.,0,correct features but unhelpful and negative tone,"React,Ruby",3,student
S0189,J009,Top features: match_score (0.41). Missing K8s. Rank change if K8s added: #5 -> #4.,1,"actionable, specific, mentions correct skills and rank",K8s,5,student
S0150,J008,Top features: match_score (0.41). Missing Python. Rank change if Python added: #2 -> #1.,1,"actionable, specific, mentions correct skills and rank",Python,2,officer
S0162,J009,"Your current position is #2. Gaps identified: C++. If you learn C++, you might jump to #1.",1,"actionable, specific, mentions correct skills and rank","C++,Docker",2,officer
S0193,J013,Rank: 2. Go is required. Adding it could shift you up to 1.,1,"actionable, specific, mentions correct skills and rank",Go,2,student
S0090,J007,"Your current position is #2. Gaps identified: SQL. If you learn SQL, you might jump to #1.",1,"actionable, specific, mentions correct skills and rank",SQL,2,student
S0039,J013,You're ranked #5 for this role. Missing: K8s. Acquiring this skill could move you to #4.,1,"actionable, specific, mentions correct skills and rank",K8s,5,student
S0090,J007,You're ranked #5 for this role. Missing: Go. Acquiring this skill could move you to #4.,1,"actionable, specific, mentions correct skills and rank","Go,Docker",5,admin
S0164,J018,You're ranked #2 for this role. Missing: React. Acquiring this skill could move you to #1.,1,"actionable, specific, mentions correct skills and rank",React,2,student
S0194,J019,You're ranked #4 for this role. Missing: Java. Acquiring this skill could move you to #3.,1,"actionable, specific, mentions correct skills and rank",Java,4,officer
S0131,J016,"Your current position is #3. Gaps identified: Git. If you learn Git, you might jump to #2.",1,"actionable, specific, mentions correct skills and rank","Git,React",3,student
S0023,J006,Top features: match_score (0.41). Missing Azure. Rank change if Azure added: #5 -> #4.,1,"actionable, specific, mentions correct skills and rank",Azure,5,admin
S0195,J012,You are rank #4. You are missing Java. There is no way to improve.,0,correct features but unhelpful and negative tone,Java,4,admin
S0196,J005,You are rank #5. You are missing Git. There is no way to improve.,0,correct features but unhelpful and negative tone,Git,5,officer
S0176,J020,You're ranked #7 for this role. Missing: K8s.,0,states incorrect rank,"K8s,C++",5,officer
S0107,J010,Rank: 4. Azure is required. Adding it could shift you up to 3.,1,"actionable, specific, mentions correct skills and rank","Azure,Docker",4,officer
S0113,J013,"Your current position is #4. Gaps identified: Docker. If you learn Docker, you might jump to #3.",1,"actionable, specific, mentions correct skills and rank",Docker,4,admin
S0179,J003,You're ranked #3 for this role. Missing: SQL. Acquiring this skill could move you to #2.,1,"actionable, specific, mentions correct skills and rank","SQL,Go",3,admin
S0024,J003,"Your current position is #2. Gaps identified: React. If you learn React, you might jump to #1.",1,"actionable, specific, mentions correct skills and rank",React,2,student
S0085,J008,Rank: 5. Azure is required. Adding it could shift you up to 4.,1,"actionable, specific, mentions correct skills and rank",Azure,5,officer
S0149,J011,Rank: 4. Azure is required. Adding it could shift you up to 3.,1,"actionable, specific, mentions correct skills and rank","Azure,Docker",4,officer
S0183,J004,"Your current position is #3. Gaps identified: Java. If you learn Java, you might jump to #2.",1,"actionable, specific, mentions correct skills and rank",Java,3,admin
S0004,J007,You're ranked #2 for this role. Missing: Ruby. Acquiring this skill could move you to #1.,1,"actionable, specific, mentions correct skills and rank",Ruby,2,admin
S0189,J016,Good match overall. Student is recommended.,0,too generic,"Ruby,Python",3,officer
S0047,J003,You're ranked #4 for this role. Missing: SQL. Acquiring this skill could move you to #3.,1,"actionable, specific, mentions correct skills and rank","SQL,C++",4,student
S0136,J005,"Your current position is #5. Gaps identified: React. If you learn React, you might jump to #4.",1,"actionable, specific, mentions correct skills and rank","React,Azure",5,officer
S0075,J003,You are rank #5. Missing: Git. Add it to improve.,0,hallucinated skill not in gap list,C++,5,admin
S0159,J002,You're ranked #4 for this role. Missing: SQL. Acquiring this skill could move you to #3.,1,"actionable, specific, mentions correct skills and rank",SQL,4,student
S0021,J019,Top features: match_score (0.41). Missing Go. Rank change if Go added: #2 -> #1.,1,"actionable, specific, mentions correct skills and rank",Go,2,officer
S0178,J014,Student has match_score weight 0.41 and ai_trust_score 0.99. Rank #5.,0,"correct but not actionable for student, no counterfactual",Docker,5,student
S0079,J017,You're ranked #3 for this role. Missing: Docker. Acquiring this skill could move you to #2.,1,"actionable, specific, mentions correct skills and rank",Docker,3,admin
S0121,J001,Student has match_score weight 0.41 and ai_trust_score 0.99. Rank #4.,0,"correct but not actionable for student, no counterfactual",Git,4,admin
S0165,J017,Rank: 3. Azure is required. Adding it could shift you up to 2.,1,"actionable, specific, mentions correct skills and rank",Azure,3,admin
S0017,J004,Rank: 4. Git is required. Adding it could shift you up to 3.,1,"actionable, specific, mentions correct skills and rank",Git,4,student
S0099,J015,Good match overall. Student is recommended.,0,too generic,"Python,Ruby",5,officer
S0054,J001,Student has match_score weight 0.41 and ai_trust_score 0.99. Rank #5.,0,"correct but not actionable for student, no counterfactual",Python,5,officer
S0182,J001,You're ranked #5 for this role. Missing: Java. Acquiring this skill could move you to #4.,1,"actionable, specific, mentions correct skills and rank",Java,5,student
S0102,J002,You're ranked #5 for this role. Missing: Java.,0,states incorrect rank,Java,3,student
S0122,J006,Rank: 2. C++ is required. Adding it could shift you up to 1.,1,"actionable, specific, mentions correct skills and rank","C++,AWS",2,student
S0153,J001,You're ranked #4 for this role. Missing: React. Acquiring this skill could move you to #3.,1,"actionable, specific, mentions correct skills and rank","React,SQL",4,student
S0059,J004,Rank: 5. Java is required. Adding it could shift you up to 4.,1,"actionable, specific, mentions correct skills and rank",Java,5,officer
S0075,J015,You are rank #5. You are missing AWS. There is no way to improve.,0,correct features but unhelpful and negative tone,"AWS,Java",5,student
S0200,J008,Top features: match_score (0.41). Missing SQL. Rank change if SQL added: #5 -> #4.,1,"actionable, specific, mentions correct skills and rank",SQL,5,officer
S0114,J005,You're ranked #5 for this role. Missing: Ruby. Acquiring this skill could move you to #4.,1,"actionable, specific, mentions correct skills and rank","Ruby,AWS",5,officer
S0197,J006,Rank: 3. K8s is required. Adding it could shift you up to 2.,1,"actionable, specific, mentions correct skills and rank","K8s,Go",3,admin
S0077,J018,Good match overall. Student is recommended.,0,too generic,Go,4,officer
S0019,J006,Top features: match_score (0.41). Missing Go. Rank change if Go added: #3 -> #2.,1,"actionable, specific, mentions correct skills and rank","Go,Azure",3,officer
S0008,J013,You are rank #3. You are missing Ruby. There is no way to improve.,0,correct features but unhelpful and negative tone,"Ruby,Git",3,officer
S0171,J010,Good match overall. Student is recommended.,0,too generic,"Azure,AWS",5,officer
S0155,J002,Top features: match_score (0.41). Missing SQL. Rank change if SQL added: #4 -> #3.,1,"actionable, specific, mentions correct skills and rank",SQL,4,student
S0018,J013,You are rank #5. Missing: Azure. Add it to improve.,0,hallucinated skill not in gap list,Docker,5,admin
S0041,J009,"Your current position is #2. Gaps identified: Docker. If you learn Docker, you might jump to #1.",1,"actionable, specific, mentions correct skills and rank","Docker,C++",2,student
S0099,J012,Rank: 3. Python is required. Adding it could shift you up to 2.,1,"actionable, specific, mentions correct skills and rank",Python,3,student
S0136,J009,You're ranked #5 for this role. Missing: SQL. Acquiring this skill could move you to #4.,1,"actionable, specific, mentions correct skills and rank",SQL,5,officer
S0004,J003,You're ranked #3 for this role. Missing: C++. Acquiring this skill could move you to #2.,1,"actionable, specific, mentions correct skills and rank",C++,3,student
S0188,J006,Rank: 2. Python is required. Adding it could shift you up to 1.,1,"actionable, specific, mentions correct skills and rank",Python,2,officer
S0164,J015,"Your current position is #2. Gaps identified: AWS. If you learn AWS, you might jump to #1.",1,"actionable, specific, mentions correct skills and rank",AWS,2,officer
S0054,J008,Student has match_score weight 0.41 and ai_trust_score 0.99. Rank #2.,0,"correct but not actionable for student, no counterfactual","Java,AWS",2,admin
S0153,J005,"Your current position is #3. Gaps identified: Go. If you learn Go, you might jump to #2.",1,"actionable, specific, mentions correct skills and rank",Go,3,student
S0126,J017,"Your current position is #3. Gaps identified: SQL. If you learn SQL, you might jump to #2.",1,"actionable, specific, mentions correct skills and rank",SQL,3,student
S0183,J001,Top features: match_score (0.41). Missing Git. Rank change if Git added: #2 -> #1.,1,"actionable, specific, mentions correct skills and rank",Git,2,student
S0132,J019,You're ranked #5 for this role. Missing: K8s.,0,states incorrect rank,K8s,3,admin
